Unnamed: 0,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration,source_file
0,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,1,L-1,Concatenation,2,2,6.935,AKIAYPZKJUD4MSKJLBUZ_v_20250423T214832_LAKCutpWfKbTS7AEGfMzM8lXsx9mb8YU.csv
1,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,2,L-1,Interpolation,1,3,0.012,AKIAYPZKJUD4MSKJLBUZ_v_20250423T214832_LAKCutpWfKbTS7AEGfMzM8lXsx9mb8YU.csv
2,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,3,L-2,Concatenation,1,3,0.741,AKIAYPZKJUD4MSKJLBUZ_v_20250423T214832_LAKCutpWfKbTS7AEGfMzM8lXsx9mb8YU.csv
3,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,4,L-2,Interpolation,2,4,0.387,AKIAYPZKJUD4MSKJLBUZ_v_20250423T214832_LAKCutpWfKbTS7AEGfMzM8lXsx9mb8YU.csv
4,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,5,L-2,Concatenation,3,1,2.464,AKIAYPZKJUD4MSKJLBUZ_v_20250423T214832_LAKCutpWfKbTS7AEGfMzM8lXsx9mb8YU.csv
5,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,6,L-2,Interpolation,4,2,0.272,AKIAYPZKJUD4MSKJLBUZ_v_20250423T214832_LAKCutpWfKbTS7AEGfMzM8lXsx9mb8YU.csv
6,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,7,L-4,Concatenation,4,3,0.405,AKIAYPZKJUD4MSKJLBUZ_v_20250423T214832_LAKCutpWfKbTS7AEGfMzM8lXsx9mb8YU.csv
7,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,8,L-4,Interpolation,1,4,0.371,AKIAYPZKJUD4MSKJLBUZ_v_20250423T214832_LAKCutpWfKbTS7AEGfMzM8lXsx9mb8YU.csv
8,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,9,L-3,Concatenation,3,2,1.096,AKIAYPZKJUD4MSKJLBUZ_v_20250423T214832_LAKCutpWfKbTS7AEGfMzM8lXsx9mb8YU.csv
9,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,10,L-3,Interpolation,2,1,0.362,AKIAYPZKJUD4MSKJLBUZ_v_20250423T214832_LAKCutpWfKbTS7AEGfMzM8lXsx9mb8YU.csv
10,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,11,L-4,Concatenation,3,2,0.258,AKIAYPZKJUD4MSKJLBUZ_v_20250423T214832_LAKCutpWfKbTS7AEGfMzM8lXsx9mb8YU.csv
11,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,12,L-4,Interpolation,1,4,0.268,AKIAYPZKJUD4MSKJLBUZ_v_20250423T214832_LAKCutpWfKbTS7AEGfMzM8lXsx9mb8YU.csv
12,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,13,L-2,Concatenation,4,2,1.228,AKIAYPZKJUD4MSKJLBUZ_v_20250423T214832_LAKCutpWfKbTS7AEGfMzM8lXsx9mb8YU.csv
13,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,14,L-2,Interpolation,2,3,0.258,AKIAYPZKJUD4MSKJLBUZ_v_20250423T214832_LAKCutpWfKbTS7AEGfMzM8lXsx9mb8YU.csv
14,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,15,L-3,Concatenation,1,4,0.432,AKIAYPZKJUD4MSKJLBUZ_v_20250423T214832_LAKCutpWfKbTS7AEGfMzM8lXsx9mb8YU.csv
15,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,16,L-3,Interpolation,3,2,0.407,AKIAYPZKJUD4MSKJLBUZ_v_20250423T214832_LAKCutpWfKbTS7AEGfMzM8lXsx9mb8YU.csv
0,3c59878e,Male,18-24,Senior,High School / GED,Nevada,Computer science,5,1,L-1,Concatenation,2,2,18.524,AKIAYPZKJUD4MSKJLBUZ_v_20250423T215208_jHr_RgAN3yNjugV0Nfgd02syub9FePY9.csv
1,3c59878e,Male,18-24,Senior,High School / GED,Nevada,Computer science,5,2,L-1,Interpolation,1,1,19.073,AKIAYPZKJUD4MSKJLBUZ_v_20250423T215208_jHr_RgAN3yNjugV0Nfgd02syub9FePY9.csv
2,3c59878e,Male,18-24,Senior,High School / GED,Nevada,Computer science,5,3,L-2,Concatenation,1,4,17.986,AKIAYPZKJUD4MSKJLBUZ_v_20250423T215208_jHr_RgAN3yNjugV0Nfgd02syub9FePY9.csv
3,3c59878e,Male,18-24,Senior,High School / GED,Nevada,Computer science,5,4,L-2,Interpolation,2,2,11.706,AKIAYPZKJUD4MSKJLBUZ_v_20250423T215208_jHr_RgAN3yNjugV0Nfgd02syub9FePY9.csv
4,3c59878e,Male,18-24,Senior,High School / GED,Nevada,Computer science,5,5,L-2,Concatenation,3,3,14.005,AKIAYPZKJUD4MSKJLBUZ_v_20250423T215208_jHr_RgAN3yNjugV0Nfgd02syub9FePY9.csv
5,3c59878e,Male,18-24,Senior,High School / GED,Nevada,Computer science,5,6,L-2,Interpolation,4,3,17.118,AKIAYPZKJUD4MSKJLBUZ_v_20250423T215208_jHr_RgAN3yNjugV0Nfgd02syub9FePY9.csv
6,3c59878e,Male,18-24,Senior,High School / GED,Nevada,Computer science,5,7,L-4,Concatenation,4,4,63.13,AKIAYPZKJUD4MSKJLBUZ_v_20250423T215208_jHr_RgAN3yNjugV0Nfgd02syub9FePY9.csv
7,3c59878e,Male,18-24,Senior,High School / GED,Nevada,Computer science,5,8,L-4,Interpolation,1,1,24.424,AKIAYPZKJUD4MSKJLBUZ_v_20250423T215208_jHr_RgAN3yNjugV0Nfgd02syub9FePY9.csv
8,3c59878e,Male,18-24,Senior,High School / GED,Nevada,Computer science,5,9,L-3,Concatenation,3,3,24.895,AKIAYPZKJUD4MSKJLBUZ_v_20250423T215208_jHr_RgAN3yNjugV0Nfgd02syub9FePY9.csv
9,3c59878e,Male,18-24,Senior,High School / GED,Nevada,Computer science,5,10,L-3,Interpolation,2,2,17.602,AKIAYPZKJUD4MSKJLBUZ_v_20250423T215208_jHr_RgAN3yNjugV0Nfgd02syub9FePY9.csv
10,3c59878e,Male,18-24,Senior,High School / GED,Nevada,Computer science,5,11,L-4,Concatenation,3,3,34.875,AKIAYPZKJUD4MSKJLBUZ_v_20250423T215208_jHr_RgAN3yNjugV0Nfgd02syub9FePY9.csv
11,3c59878e,Male,18-24,Senior,High School / GED,Nevada,Computer science,5,12,L-4,Interpolation,1,1,16.791,AKIAYPZKJUD4MSKJLBUZ_v_20250423T215208_jHr_RgAN3yNjugV0Nfgd02syub9FePY9.csv
