,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,1,L-1,Concatenation,2,2,6.935
1,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,2,L-1,Interpolation,1,3,0.012
2,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,3,L-2,Concatenation,1,3,0.741
3,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,4,L-2,Interpolation,2,4,0.387
4,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,5,L-2,Concatenation,3,1,2.464
5,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,6,L-2,Interpolation,4,2,0.272
6,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,7,L-4,Concatenation,4,3,0.405
7,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,8,L-4,Interpolation,1,4,0.371
8,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,9,L-3,Concatenation,3,2,1.096
9,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,10,L-3,Interpolation,2,1,0.362
10,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,11,L-4,Concatenation,3,2,0.258
11,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,12,L-4,Interpolation,1,4,0.268
12,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,13,L-2,Concatenation,4,2,1.228
13,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,14,L-2,Interpolation,2,3,0.258
14,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,15,L-3,Concatenation,1,4,0.432
15,4108241f,Male,18-24,Senior,Some college/university,NV,CS,8,16,L-3,Interpolation,3,2,0.407
