,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,d7a03449,Male,18-24,Senior,High School / GED,Nevada,Computer Science,6,1,L-1,Concatenation,2,2,20.527
1,d7a03449,Male,18-24,Senior,High School / GED,Nevada,Computer Science,6,2,L-1,Interpolation,1,1,18.54
2,d7a03449,Male,18-24,Senior,High School / GED,Nevada,Computer Science,6,3,L-2,Concatenation,1,4,45.995
3,d7a03449,Male,18-24,Senior,High School / GED,Nevada,Computer Science,6,4,L-2,Interpolation,2,2,31.796
4,d7a03449,Male,18-24,Senior,High School / GED,Nevada,Computer Science,6,5,L-2,Concatenation,3,3,33.467
5,d7a03449,Male,18-24,Senior,High School / GED,Nevada,Computer Science,6,6,L-2,Interpolation,4,3,24.469
6,d7a03449,Male,18-24,Senior,High School / GED,Nevada,Computer Science,6,7,L-4,Concatenation,4,4,87.198
7,d7a03449,Male,18-24,Senior,High School / GED,Nevada,Computer Science,6,8,L-4,Interpolation,1,2,107.065
8,d7a03449,Male,18-24,Senior,High School / GED,Nevada,Computer Science,6,9,L-3,Concatenation,3,3,36.023
9,d7a03449,Male,18-24,Senior,High School / GED,Nevada,Computer Science,6,10,L-3,Interpolation,2,2,28.59
10,d7a03449,Male,18-24,Senior,High School / GED,Nevada,Computer Science,6,11,L-4,Concatenation,3,3,32.192
11,d7a03449,Male,18-24,Senior,High School / GED,Nevada,Computer Science,6,12,L-4,Interpolation,1,1,23.988
12,d7a03449,Male,18-24,Senior,High School / GED,Nevada,Computer Science,6,13,L-2,Concatenation,4,4,33.138
13,d7a03449,Male,18-24,Senior,High School / GED,Nevada,Computer Science,6,14,L-2,Interpolation,2,2,10.694
14,d7a03449,Male,18-24,Senior,High School / GED,Nevada,Computer Science,6,15,L-3,Concatenation,1,1,32.996
15,d7a03449,Male,18-24,Senior,High School / GED,Nevada,Computer Science,6,16,L-3,Interpolation,3,3,12.344
