,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,99b5ba63,Male,18-24,Senior,High School / GED,Nevada,Computer Science,5,1,L-1,Concatenation,2,2,11.721
1,99b5ba63,Male,18-24,Senior,High School / GED,Nevada,Computer Science,5,2,L-1,Interpolation,1,1,11.662
2,99b5ba63,Male,18-24,Senior,High School / GED,Nevada,Computer Science,5,3,L-2,Concatenation,1,4,15.308
3,99b5ba63,Male,18-24,Senior,High School / GED,Nevada,Computer Science,5,4,L-2,Interpolation,2,2,16.35
4,99b5ba63,Male,18-24,Senior,High School / GED,Nevada,Computer Science,5,5,L-2,Concatenation,3,3,20.189
5,99b5ba63,Male,18-24,Senior,High School / GED,Nevada,Computer Science,5,6,L-2,Interpolation,4,3,11.319
6,99b5ba63,Male,18-24,Senior,High School / GED,Nevada,Computer Science,5,7,L-4,Concatenation,4,4,53.673
7,99b5ba63,Male,18-24,Senior,High School / GED,Nevada,Computer Science,5,8,L-4,Interpolation,1,1,18.592
8,99b5ba63,Male,18-24,Senior,High School / GED,Nevada,Computer Science,5,9,L-3,Concatenation,3,3,17.696
9,99b5ba63,Male,18-24,Senior,High School / GED,Nevada,Computer Science,5,10,L-3,Interpolation,2,2,16.028
10,99b5ba63,Male,18-24,Senior,High School / GED,Nevada,Computer Science,5,11,L-4,Concatenation,3,3,18.851
11,99b5ba63,Male,18-24,Senior,High School / GED,Nevada,Computer Science,5,12,L-4,Interpolation,1,1,23.187
12,99b5ba63,Male,18-24,Senior,High School / GED,Nevada,Computer Science,5,13,L-2,Concatenation,4,4,10.231
13,99b5ba63,Male,18-24,Senior,High School / GED,Nevada,Computer Science,5,14,L-2,Interpolation,2,2,10.759
14,99b5ba63,Male,18-24,Senior,High School / GED,Nevada,Computer Science,5,15,L-3,Concatenation,1,1,34.733
15,99b5ba63,Male,18-24,Senior,High School / GED,Nevada,Computer Science,5,16,L-3,Interpolation,3,4,11.174
