,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,72669acc,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,1,L-1,Concatenation,2,2,23.535
1,72669acc,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,2,L-1,Interpolation,1,1,22.718
2,72669acc,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,3,L-2,Concatenation,1,4,24.736
3,72669acc,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,4,L-2,Interpolation,2,2,37.072
4,72669acc,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,5,L-2,Concatenation,3,3,30.672
5,72669acc,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,6,L-2,Interpolation,4,3,22.832
6,72669acc,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,7,L-4,Concatenation,4,4,54.176
7,72669acc,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,8,L-4,Interpolation,1,3,34.096
8,72669acc,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,9,L-3,Concatenation,3,3,18.224
9,72669acc,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,10,L-3,Interpolation,2,2,19.056
10,72669acc,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,11,L-4,Concatenation,3,1,59.52
11,72669acc,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,12,L-4,Interpolation,1,3,27.28
12,72669acc,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,13,L-2,Concatenation,4,4,15.92
13,72669acc,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,14,L-2,Interpolation,2,2,20.224
14,72669acc,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,15,L-3,Concatenation,1,1,27.6
15,72669acc,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,16,L-3,Interpolation,3,3,1.44
