,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,7222da5a,Male,18-24,Junior,Some college/university,NEVADA,Electrical Engineering ,1,1,L-1,Concatenation,2,2,64.881
1,7222da5a,Male,18-24,Junior,Some college/university,NEVADA,Electrical Engineering ,1,2,L-1,Interpolation,1,1,44.514
2,7222da5a,Male,18-24,Junior,Some college/university,NEVADA,Electrical Engineering ,1,3,L-2,Concatenation,1,4,33.999
3,7222da5a,Male,18-24,Junior,Some college/university,NEVADA,Electrical Engineering ,1,4,L-2,Interpolation,2,2,51.627
4,7222da5a,Male,18-24,Junior,Some college/university,NEVADA,Electrical Engineering ,1,5,L-2,Concatenation,3,3,48.801
5,7222da5a,Male,18-24,Junior,Some college/university,NEVADA,Electrical Engineering ,1,6,L-2,Interpolation,4,3,20.144
6,7222da5a,Male,18-24,Junior,Some college/university,NEVADA,Electrical Engineering ,1,7,L-4,Concatenation,4,4,86.656
7,7222da5a,Male,18-24,Junior,Some college/university,NEVADA,Electrical Engineering ,1,8,L-4,Interpolation,1,1,57.999
8,7222da5a,Male,18-24,Junior,Some college/university,NEVADA,Electrical Engineering ,1,9,L-3,Concatenation,3,3,36.214
9,7222da5a,Male,18-24,Junior,Some college/university,NEVADA,Electrical Engineering ,1,10,L-3,Interpolation,2,2,55.886
10,7222da5a,Male,18-24,Junior,Some college/university,NEVADA,Electrical Engineering ,1,11,L-4,Concatenation,3,3,66.146
11,7222da5a,Male,18-24,Junior,Some college/university,NEVADA,Electrical Engineering ,1,12,L-4,Interpolation,1,1,77.055
12,7222da5a,Male,18-24,Junior,Some college/university,NEVADA,Electrical Engineering ,1,13,L-2,Concatenation,4,4,38.481
13,7222da5a,Male,18-24,Junior,Some college/university,NEVADA,Electrical Engineering ,1,14,L-2,Interpolation,2,2,29.442
14,7222da5a,Male,18-24,Junior,Some college/university,NEVADA,Electrical Engineering ,1,15,L-3,Concatenation,1,1,63.235
15,7222da5a,Male,18-24,Junior,Some college/university,NEVADA,Electrical Engineering ,1,16,L-3,Interpolation,3,4,128.167
