,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,559887bf,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,1,1,L-1,Concatenation,2,1,40.79
1,559887bf,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,1,2,L-1,Interpolation,1,2,4.906
2,559887bf,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,1,3,L-2,Concatenation,1,3,0.229
3,559887bf,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,1,4,L-2,Interpolation,2,1,0.155
4,559887bf,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,1,5,L-2,Concatenation,3,3,0.14
5,559887bf,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,1,6,L-2,Interpolation,4,2,0.098
6,559887bf,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,1,7,L-4,Concatenation,4,3,0.115
7,559887bf,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,1,8,L-4,Interpolation,1,1,0.09
8,559887bf,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,1,9,L-3,Concatenation,3,3,0.09
9,559887bf,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,1,10,L-3,Interpolation,2,2,0.115
10,559887bf,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,1,11,L-4,Concatenation,3,3,0.079
11,559887bf,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,1,12,L-4,Interpolation,1,1,0.163
12,559887bf,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,1,13,L-2,Concatenation,4,3,0.09
13,559887bf,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,1,14,L-2,Interpolation,2,2,0.215
14,559887bf,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,1,15,L-3,Concatenation,1,4,0.356
15,559887bf,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,1,16,L-3,Interpolation,3,1,1.34
