,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,68e97c99,Male,25-35,Freshman,Some college/university,Nevada,Computer Science,2,1,L-1,Concatenation,2,2,13.596
1,68e97c99,Male,25-35,Freshman,Some college/university,Nevada,Computer Science,2,2,L-1,Interpolation,1,1,20.255
2,68e97c99,Male,25-35,Freshman,Some college/university,Nevada,Computer Science,2,3,L-2,Concatenation,1,4,27.223
3,68e97c99,Male,25-35,Freshman,Some college/university,Nevada,Computer Science,2,4,L-2,Interpolation,2,2,31.89
4,68e97c99,Male,25-35,Freshman,Some college/university,Nevada,Computer Science,2,5,L-2,Concatenation,3,3,29.624
5,68e97c99,Male,25-35,Freshman,Some college/university,Nevada,Computer Science,2,6,L-2,Interpolation,4,3,13.338
6,68e97c99,Male,25-35,Freshman,Some college/university,Nevada,Computer Science,2,7,L-4,Concatenation,4,4,80.77
7,68e97c99,Male,25-35,Freshman,Some college/university,Nevada,Computer Science,2,8,L-4,Interpolation,1,2,15.936
8,68e97c99,Male,25-35,Freshman,Some college/university,Nevada,Computer Science,2,9,L-3,Concatenation,3,3,12.96
9,68e97c99,Male,25-35,Freshman,Some college/university,Nevada,Computer Science,2,10,L-3,Interpolation,2,2,22.593
10,68e97c99,Male,25-35,Freshman,Some college/university,Nevada,Computer Science,2,11,L-4,Concatenation,3,1,6.65
11,68e97c99,Male,25-35,Freshman,Some college/university,Nevada,Computer Science,2,12,L-4,Interpolation,1,1,9.338
12,68e97c99,Male,25-35,Freshman,Some college/university,Nevada,Computer Science,2,13,L-2,Concatenation,4,3,13.426
13,68e97c99,Male,25-35,Freshman,Some college/university,Nevada,Computer Science,2,14,L-2,Interpolation,2,2,11.219
14,68e97c99,Male,25-35,Freshman,Some college/university,Nevada,Computer Science,2,15,L-3,Concatenation,1,1,30.442
15,68e97c99,Male,25-35,Freshman,Some college/university,Nevada,Computer Science,2,16,L-3,Interpolation,3,3,21.926
