,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,ca3ddf84,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,1,L-1,Concatenation,2,2,34.923
1,ca3ddf84,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,2,L-1,Interpolation,1,1,36.803
2,ca3ddf84,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,3,L-2,Concatenation,1,4,28.592
3,ca3ddf84,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,4,L-2,Interpolation,2,2,24.813
4,ca3ddf84,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,5,L-2,Concatenation,3,3,18.968
5,ca3ddf84,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,6,L-2,Interpolation,4,3,10.935
6,ca3ddf84,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,7,L-4,Concatenation,4,4,21.192
7,ca3ddf84,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,8,L-4,Interpolation,1,2,4.116
8,ca3ddf84,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,9,L-3,Concatenation,3,3,21.694
9,ca3ddf84,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,10,L-3,Interpolation,2,2,6.953
10,ca3ddf84,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,11,L-4,Concatenation,3,3,3.354
11,ca3ddf84,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,12,L-4,Interpolation,1,1,0.936
12,ca3ddf84,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,13,L-2,Concatenation,4,4,16.391
13,ca3ddf84,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,14,L-2,Interpolation,2,2,9.133
14,ca3ddf84,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,15,L-3,Concatenation,1,2,28.083
15,ca3ddf84,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,16,L-3,Interpolation,3,3,25.985
