,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,8e8055fa,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,1,L-1,Concatenation,2,2,18.258
1,8e8055fa,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,2,L-1,Interpolation,1,1,11.376
2,8e8055fa,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,3,L-2,Concatenation,1,4,18.919
3,8e8055fa,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,4,L-2,Interpolation,2,3,26.39
4,8e8055fa,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,5,L-2,Concatenation,3,3,24.051
5,8e8055fa,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,6,L-2,Interpolation,4,3,19.688
6,8e8055fa,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,7,L-4,Concatenation,4,1,36.297
7,8e8055fa,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,8,L-4,Interpolation,1,1,15.022
8,8e8055fa,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,9,L-3,Concatenation,3,3,29.898
9,8e8055fa,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,10,L-3,Interpolation,2,4,20.167
10,8e8055fa,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,11,L-4,Concatenation,3,3,3.631
11,8e8055fa,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,12,L-4,Interpolation,1,1,22.874
12,8e8055fa,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,13,L-2,Concatenation,4,4,16.555
13,8e8055fa,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,14,L-2,Interpolation,2,3,10.581
14,8e8055fa,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,15,L-3,Concatenation,1,1,27.515
15,8e8055fa,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,16,L-3,Interpolation,3,3,19.913
