,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,117618b0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,1,1,L-1,Concatenation,2,2,19.492
1,117618b0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,1,2,L-1,Interpolation,1,1,14.089
2,117618b0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,1,3,L-2,Concatenation,1,4,32.34
3,117618b0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,1,4,L-2,Interpolation,2,2,29.407
4,117618b0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,1,5,L-2,Concatenation,3,3,31.509
5,117618b0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,1,6,L-2,Interpolation,4,3,19.627
6,117618b0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,1,7,L-4,Concatenation,4,4,53.937
7,117618b0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,1,8,L-4,Interpolation,1,2,70.066
8,117618b0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,1,9,L-3,Concatenation,3,3,62.543
9,117618b0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,1,10,L-3,Interpolation,2,2,85.694
10,117618b0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,1,11,L-4,Concatenation,3,3,106.774
11,117618b0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,1,12,L-4,Interpolation,1,1,14.72
12,117618b0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,1,13,L-2,Concatenation,4,4,28.836
13,117618b0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,1,14,L-2,Interpolation,2,2,13.652
14,117618b0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,1,15,L-3,Concatenation,1,1,37.887
15,117618b0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,1,16,L-3,Interpolation,3,3,130.313
