,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,9d10863f,Male,18-24,Sophomore,Some college/university,NV,Computer Science,1,1,L-1,Concatenation,2,2,29.328
1,9d10863f,Male,18-24,Sophomore,Some college/university,NV,Computer Science,1,2,L-1,Interpolation,1,1,12.437
2,9d10863f,Male,18-24,Sophomore,Some college/university,NV,Computer Science,1,3,L-2,Concatenation,1,2,15.922
3,9d10863f,Male,18-24,Sophomore,Some college/university,NV,Computer Science,1,4,L-2,Interpolation,2,2,18.305
4,9d10863f,Male,18-24,Sophomore,Some college/university,NV,Computer Science,1,5,L-2,Concatenation,3,3,21.434
5,9d10863f,Male,18-24,Sophomore,Some college/university,NV,Computer Science,1,6,L-2,Interpolation,4,3,14.375
6,9d10863f,Male,18-24,Sophomore,Some college/university,NV,Computer Science,1,7,L-4,Concatenation,4,4,33.381
7,9d10863f,Male,18-24,Sophomore,Some college/university,NV,Computer Science,1,8,L-4,Interpolation,1,4,8.552
8,9d10863f,Male,18-24,Sophomore,Some college/university,NV,Computer Science,1,9,L-3,Concatenation,3,3,23.896
9,9d10863f,Male,18-24,Sophomore,Some college/university,NV,Computer Science,1,10,L-3,Interpolation,2,2,13.76
10,9d10863f,Male,18-24,Sophomore,Some college/university,NV,Computer Science,1,11,L-4,Concatenation,3,1,18.751
11,9d10863f,Male,18-24,Sophomore,Some college/university,NV,Computer Science,1,12,L-4,Interpolation,1,1,10.522
12,9d10863f,Male,18-24,Sophomore,Some college/university,NV,Computer Science,1,13,L-2,Concatenation,4,4,11.654
13,9d10863f,Male,18-24,Sophomore,Some college/university,NV,Computer Science,1,14,L-2,Interpolation,2,2,14.026
14,9d10863f,Male,18-24,Sophomore,Some college/university,NV,Computer Science,1,15,L-3,Concatenation,1,1,30.014
15,9d10863f,Male,18-24,Sophomore,Some college/university,NV,Computer Science,1,16,L-3,Interpolation,3,3,35.789
