,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,1211f2f3,Female,18-24,Senior,Associate Degree,Nevada,Art,3,1,L-1,Concatenation,2,2,11.817
1,1211f2f3,Female,18-24,Senior,Associate Degree,Nevada,Art,3,2,L-1,Interpolation,1,1,15.608
2,1211f2f3,Female,18-24,Senior,Associate Degree,Nevada,Art,3,3,L-2,Concatenation,1,4,85.248
3,1211f2f3,Female,18-24,Senior,Associate Degree,Nevada,Art,3,4,L-2,Interpolation,2,2,18.057
4,1211f2f3,Female,18-24,Senior,Associate Degree,Nevada,Art,3,5,L-2,Concatenation,3,3,64.312
5,1211f2f3,Female,18-24,Senior,Associate Degree,Nevada,Art,3,6,L-2,Interpolation,4,2,21.568
6,1211f2f3,Female,18-24,Senior,Associate Degree,Nevada,Art,3,7,L-4,Concatenation,4,2,1.183
7,1211f2f3,Female,18-24,Senior,Associate Degree,Nevada,Art,3,8,L-4,Interpolation,1,2,0.504
8,1211f2f3,Female,18-24,Senior,Associate Degree,Nevada,Art,3,9,L-3,Concatenation,3,4,0.704
9,1211f2f3,Female,18-24,Senior,Associate Degree,Nevada,Art,3,10,L-3,Interpolation,2,1,1.928
10,1211f2f3,Female,18-24,Senior,Associate Degree,Nevada,Art,3,11,L-4,Concatenation,3,4,1.152
11,1211f2f3,Female,18-24,Senior,Associate Degree,Nevada,Art,3,12,L-4,Interpolation,1,3,0.728
12,1211f2f3,Female,18-24,Senior,Associate Degree,Nevada,Art,3,13,L-2,Concatenation,4,1,0.944
13,1211f2f3,Female,18-24,Senior,Associate Degree,Nevada,Art,3,14,L-2,Interpolation,2,1,0.375
14,1211f2f3,Female,18-24,Senior,Associate Degree,Nevada,Art,3,15,L-3,Concatenation,1,2,0.544
15,1211f2f3,Female,18-24,Senior,Associate Degree,Nevada,Art,3,16,L-3,Interpolation,3,3,0.385
