,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,c7b417e1,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,1,L-1,Concatenation,2,2,9.328
1,c7b417e1,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,2,L-1,Interpolation,1,1,7.234
2,c7b417e1,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,3,L-2,Concatenation,1,1,27.02
3,c7b417e1,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,4,L-2,Interpolation,2,2,12.659
4,c7b417e1,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,5,L-2,Concatenation,3,3,9.56
5,c7b417e1,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,6,L-2,Interpolation,4,3,12.222
6,c7b417e1,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,7,L-4,Concatenation,4,1,22.17
7,c7b417e1,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,8,L-4,Interpolation,1,2,11.662
8,c7b417e1,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,9,L-3,Concatenation,3,3,28.9
9,c7b417e1,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,10,L-3,Interpolation,2,2,24.349
10,c7b417e1,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,11,L-4,Concatenation,3,3,14.402
11,c7b417e1,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,12,L-4,Interpolation,1,3,51.67
12,c7b417e1,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,13,L-2,Concatenation,4,3,10.448
13,c7b417e1,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,14,L-2,Interpolation,2,2,8.733
14,c7b417e1,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,15,L-3,Concatenation,1,1,15.709
15,c7b417e1,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,16,L-3,Interpolation,3,3,31.766
