,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,8f17db45,Prefer not to say,18-24,Freshman,Some college/university,Nevada,CS,1,1,L-1,Concatenation,2,1,11.535
1,8f17db45,Prefer not to say,18-24,Freshman,Some college/university,Nevada,CS,1,2,L-1,Interpolation,1,1,12.022
2,8f17db45,Prefer not to say,18-24,Freshman,Some college/university,Nevada,CS,1,3,L-2,Concatenation,1,4,19.553
3,8f17db45,Prefer not to say,18-24,Freshman,Some college/university,Nevada,CS,1,4,L-2,Interpolation,2,2,16.714
4,8f17db45,Prefer not to say,18-24,Freshman,Some college/university,Nevada,CS,1,5,L-2,Concatenation,3,3,21.878
5,8f17db45,Prefer not to say,18-24,Freshman,Some college/university,Nevada,CS,1,6,L-2,Interpolation,4,3,17.508
6,8f17db45,Prefer not to say,18-24,Freshman,Some college/university,Nevada,CS,1,7,L-4,Concatenation,4,4,40.327
7,8f17db45,Prefer not to say,18-24,Freshman,Some college/university,Nevada,CS,1,8,L-4,Interpolation,1,4,10.051
8,8f17db45,Prefer not to say,18-24,Freshman,Some college/university,Nevada,CS,1,9,L-3,Concatenation,3,3,20.848
9,8f17db45,Prefer not to say,18-24,Freshman,Some college/university,Nevada,CS,1,10,L-3,Interpolation,2,2,14.38
10,8f17db45,Prefer not to say,18-24,Freshman,Some college/university,Nevada,CS,1,11,L-4,Concatenation,3,3,13.036
11,8f17db45,Prefer not to say,18-24,Freshman,Some college/university,Nevada,CS,1,12,L-4,Interpolation,1,1,45.241
12,8f17db45,Prefer not to say,18-24,Freshman,Some college/university,Nevada,CS,1,13,L-2,Concatenation,4,4,16.191
13,8f17db45,Prefer not to say,18-24,Freshman,Some college/university,Nevada,CS,1,14,L-2,Interpolation,2,2,7.443
14,8f17db45,Prefer not to say,18-24,Freshman,Some college/university,Nevada,CS,1,15,L-3,Concatenation,1,1,21.017
15,8f17db45,Prefer not to say,18-24,Freshman,Some college/university,Nevada,CS,1,16,L-3,Interpolation,3,3,13.375
