,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,a35f3b7c,Female,18-24,Freshman,Some college/university,nevada,construction management,1,1,L-1,Concatenation,2,2,19.053
1,a35f3b7c,Female,18-24,Freshman,Some college/university,nevada,construction management,1,2,L-1,Interpolation,1,1,10.856
2,a35f3b7c,Female,18-24,Freshman,Some college/university,nevada,construction management,1,3,L-2,Concatenation,1,4,16.945
3,a35f3b7c,Female,18-24,Freshman,Some college/university,nevada,construction management,1,4,L-2,Interpolation,2,3,4.242
4,a35f3b7c,Female,18-24,Freshman,Some college/university,nevada,construction management,1,5,L-2,Concatenation,3,2,0.383
5,a35f3b7c,Female,18-24,Freshman,Some college/university,nevada,construction management,1,6,L-2,Interpolation,4,1,0.45
6,a35f3b7c,Female,18-24,Freshman,Some college/university,nevada,construction management,1,7,L-4,Concatenation,4,3,0.76
7,a35f3b7c,Female,18-24,Freshman,Some college/university,nevada,construction management,1,8,L-4,Interpolation,1,1,0.439
8,a35f3b7c,Female,18-24,Freshman,Some college/university,nevada,construction management,1,9,L-3,Concatenation,3,3,0.63
9,a35f3b7c,Female,18-24,Freshman,Some college/university,nevada,construction management,1,10,L-3,Interpolation,2,1,0.351
10,a35f3b7c,Female,18-24,Freshman,Some college/university,nevada,construction management,1,11,L-4,Concatenation,3,3,0.548
11,a35f3b7c,Female,18-24,Freshman,Some college/university,nevada,construction management,1,12,L-4,Interpolation,1,1,0.56
12,a35f3b7c,Female,18-24,Freshman,Some college/university,nevada,construction management,1,13,L-2,Concatenation,4,3,0.463
13,a35f3b7c,Female,18-24,Freshman,Some college/university,nevada,construction management,1,14,L-2,Interpolation,2,1,0.36
14,a35f3b7c,Female,18-24,Freshman,Some college/university,nevada,construction management,1,15,L-3,Concatenation,1,3,0.585
15,a35f3b7c,Female,18-24,Freshman,Some college/university,nevada,construction management,1,16,L-3,Interpolation,3,1,0.437
