,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,7cfe5043,Female,18-24,Sophomore,Associate Degree,Nevada,Computer Science,1,1,L-1,Concatenation,2,1,26.552
1,7cfe5043,Female,18-24,Sophomore,Associate Degree,Nevada,Computer Science,1,2,L-1,Interpolation,1,2,51.752
2,7cfe5043,Female,18-24,Sophomore,Associate Degree,Nevada,Computer Science,1,3,L-2,Concatenation,1,2,81.984
3,7cfe5043,Female,18-24,Sophomore,Associate Degree,Nevada,Computer Science,1,4,L-2,Interpolation,2,2,12.886
4,7cfe5043,Female,18-24,Sophomore,Associate Degree,Nevada,Computer Science,1,5,L-2,Concatenation,3,3,14.67
5,7cfe5043,Female,18-24,Sophomore,Associate Degree,Nevada,Computer Science,1,6,L-2,Interpolation,4,3,15.874
6,7cfe5043,Female,18-24,Sophomore,Associate Degree,Nevada,Computer Science,1,7,L-4,Concatenation,4,1,42.63
7,7cfe5043,Female,18-24,Sophomore,Associate Degree,Nevada,Computer Science,1,8,L-4,Interpolation,1,1,14.848
8,7cfe5043,Female,18-24,Sophomore,Associate Degree,Nevada,Computer Science,1,9,L-3,Concatenation,3,3,17.234
9,7cfe5043,Female,18-24,Sophomore,Associate Degree,Nevada,Computer Science,1,10,L-3,Interpolation,2,2,14.474
10,7cfe5043,Female,18-24,Sophomore,Associate Degree,Nevada,Computer Science,1,11,L-4,Concatenation,3,1,21.105
11,7cfe5043,Female,18-24,Sophomore,Associate Degree,Nevada,Computer Science,1,12,L-4,Interpolation,1,1,12.499
12,7cfe5043,Female,18-24,Sophomore,Associate Degree,Nevada,Computer Science,1,13,L-2,Concatenation,4,4,15.662
13,7cfe5043,Female,18-24,Sophomore,Associate Degree,Nevada,Computer Science,1,14,L-2,Interpolation,2,2,14.013
14,7cfe5043,Female,18-24,Sophomore,Associate Degree,Nevada,Computer Science,1,15,L-3,Concatenation,1,1,31.533
15,7cfe5043,Female,18-24,Sophomore,Associate Degree,Nevada,Computer Science,1,16,L-3,Interpolation,3,4,19.215
