,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,ea408f14,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,1,1,L-1,Concatenation,2,2,20.321
1,ea408f14,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,1,2,L-1,Interpolation,1,1,14.104
2,ea408f14,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,1,3,L-2,Concatenation,1,4,19.522
3,ea408f14,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,1,4,L-2,Interpolation,2,2,20.669
4,ea408f14,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,1,5,L-2,Concatenation,3,3,27.634
5,ea408f14,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,1,6,L-2,Interpolation,4,3,9.631
6,ea408f14,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,1,7,L-4,Concatenation,4,4,163.968
7,ea408f14,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,1,8,L-4,Interpolation,1,1,5.103
8,ea408f14,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,1,9,L-3,Concatenation,3,2,0.144
9,ea408f14,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,1,10,L-3,Interpolation,2,2,0.288
10,ea408f14,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,1,11,L-4,Concatenation,3,3,0.034
11,ea408f14,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,1,12,L-4,Interpolation,1,4,0.385
12,ea408f14,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,1,13,L-2,Concatenation,4,2,0.285
13,ea408f14,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,1,14,L-2,Interpolation,2,1,0.128
14,ea408f14,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,1,15,L-3,Concatenation,1,4,0.386
15,ea408f14,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,1,16,L-3,Interpolation,3,4,0.91
