,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,b1858df4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,1,L-1,Concatenation,2,2,21.852
1,b1858df4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,2,L-1,Interpolation,1,1,13.799
2,b1858df4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,3,L-2,Concatenation,1,4,12.834
3,b1858df4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,4,L-2,Interpolation,2,2,23.67
4,b1858df4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,5,L-2,Concatenation,3,3,14.517
5,b1858df4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,6,L-2,Interpolation,4,3,14.62
6,b1858df4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,7,L-4,Concatenation,4,4,42.037
7,b1858df4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,8,L-4,Interpolation,1,2,18.687
8,b1858df4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,9,L-3,Concatenation,3,3,27.486
9,b1858df4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,10,L-3,Interpolation,2,2,10.763
10,b1858df4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,11,L-4,Concatenation,3,1,26.57
11,b1858df4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,12,L-4,Interpolation,1,1,29.898
12,b1858df4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,13,L-2,Concatenation,4,4,17.393
13,b1858df4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,14,L-2,Interpolation,2,2,17.109
14,b1858df4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,15,L-3,Concatenation,1,1,29.255
15,b1858df4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,16,L-3,Interpolation,3,3,20.224
