,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,299644b6,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,1,L-1,Concatenation,2,2,15.945
1,299644b6,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,2,L-1,Interpolation,1,1,14.72
2,299644b6,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,3,L-2,Concatenation,1,4,17.253
3,299644b6,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,4,L-2,Interpolation,2,2,21.447
4,299644b6,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,5,L-2,Concatenation,3,3,14.152
5,299644b6,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,6,L-2,Interpolation,4,3,9.074
6,299644b6,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,7,L-4,Concatenation,4,4,32.101
7,299644b6,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,8,L-4,Interpolation,1,1,27.755
8,299644b6,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,9,L-3,Concatenation,3,3,26.04
9,299644b6,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,10,L-3,Interpolation,2,3,1.512
10,299644b6,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,11,L-4,Concatenation,3,3,23.495
11,299644b6,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,12,L-4,Interpolation,1,1,24.589
12,299644b6,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,13,L-2,Concatenation,4,4,11.724
13,299644b6,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,14,L-2,Interpolation,2,2,8.056
14,299644b6,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,15,L-3,Concatenation,1,1,21.677
15,299644b6,Male,18-24,Freshman,Some college/university,Nevada,Computer Engineering,3,16,L-3,Interpolation,3,3,21.759
