,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,4278b074,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,1,L-1,Concatenation,2,2,17.485
1,4278b074,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,2,L-1,Interpolation,1,1,15.185
2,4278b074,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,3,L-2,Concatenation,1,4,52.781
3,4278b074,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,4,L-2,Interpolation,2,1,27.064
4,4278b074,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,5,L-2,Concatenation,3,3,17.424
5,4278b074,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,6,L-2,Interpolation,4,3,19.563
6,4278b074,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,7,L-4,Concatenation,4,2,27.048
7,4278b074,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,8,L-4,Interpolation,1,3,6.406
8,4278b074,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,9,L-3,Concatenation,3,1,83.301
9,4278b074,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,10,L-3,Interpolation,2,2,5.744
10,4278b074,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,11,L-4,Concatenation,3,3,1.365
11,4278b074,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,12,L-4,Interpolation,1,1,0.669
12,4278b074,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,13,L-2,Concatenation,4,3,9.281
13,4278b074,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,14,L-2,Interpolation,2,3,1.951
14,4278b074,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,15,L-3,Concatenation,1,2,3.967
15,4278b074,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,16,L-3,Interpolation,3,1,0.623
