,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,21a24348,Female,18-24,Sophomore,Associate Degree,NV,Computer Science,1,1,L-1,Concatenation,2,2,22.517
1,21a24348,Female,18-24,Sophomore,Associate Degree,NV,Computer Science,1,2,L-1,Interpolation,1,1,25.131
2,21a24348,Female,18-24,Sophomore,Associate Degree,NV,Computer Science,1,3,L-2,Concatenation,1,4,28.389
3,21a24348,Female,18-24,Sophomore,Associate Degree,NV,Computer Science,1,4,L-2,Interpolation,2,2,15.914
4,21a24348,Female,18-24,Sophomore,Associate Degree,NV,Computer Science,1,5,L-2,Concatenation,3,3,32.846
5,21a24348,Female,18-24,Sophomore,Associate Degree,NV,Computer Science,1,6,L-2,Interpolation,4,3,11.817
6,21a24348,Female,18-24,Sophomore,Associate Degree,NV,Computer Science,1,7,L-4,Concatenation,4,4,29.125
7,21a24348,Female,18-24,Sophomore,Associate Degree,NV,Computer Science,1,8,L-4,Interpolation,1,4,9.266
8,21a24348,Female,18-24,Sophomore,Associate Degree,NV,Computer Science,1,9,L-3,Concatenation,3,3,44.031
9,21a24348,Female,18-24,Sophomore,Associate Degree,NV,Computer Science,1,10,L-3,Interpolation,2,2,23.1
10,21a24348,Female,18-24,Sophomore,Associate Degree,NV,Computer Science,1,11,L-4,Concatenation,3,3,62.499
11,21a24348,Female,18-24,Sophomore,Associate Degree,NV,Computer Science,1,12,L-4,Interpolation,1,1,14.29
12,21a24348,Female,18-24,Sophomore,Associate Degree,NV,Computer Science,1,13,L-2,Concatenation,4,4,21.035
13,21a24348,Female,18-24,Sophomore,Associate Degree,NV,Computer Science,1,14,L-2,Interpolation,2,2,14.708
14,21a24348,Female,18-24,Sophomore,Associate Degree,NV,Computer Science,1,15,L-3,Concatenation,1,1,20.498
15,21a24348,Female,18-24,Sophomore,Associate Degree,NV,Computer Science,1,16,L-3,Interpolation,3,1,2.337
