,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,07fee40e,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,1,L-1,Concatenation,2,2,20.14
1,07fee40e,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,2,L-1,Interpolation,1,1,10.65
2,07fee40e,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,3,L-2,Concatenation,1,4,11.769
3,07fee40e,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,4,L-2,Interpolation,2,2,23.611
4,07fee40e,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,5,L-2,Concatenation,3,3,10.724
5,07fee40e,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,6,L-2,Interpolation,4,3,6.988
6,07fee40e,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,7,L-4,Concatenation,4,4,33.173
7,07fee40e,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,8,L-4,Interpolation,1,1,12.234
8,07fee40e,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,9,L-3,Concatenation,3,3,18.413
9,07fee40e,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,10,L-3,Interpolation,2,2,55.886
10,07fee40e,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,11,L-4,Concatenation,3,3,14.64
11,07fee40e,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,12,L-4,Interpolation,1,1,20.797
12,07fee40e,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,13,L-2,Concatenation,4,4,11.771
13,07fee40e,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,14,L-2,Interpolation,2,2,10.51
14,07fee40e,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,15,L-3,Concatenation,1,1,19.99
15,07fee40e,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,1,16,L-3,Interpolation,3,3,8.687
