,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,67b8e5b8,Male,18-24,Freshman,High School / GED,Nevada,Computer Engineering,2,1,L-1,Concatenation,2,2,13.718
1,67b8e5b8,Male,18-24,Freshman,High School / GED,Nevada,Computer Engineering,2,2,L-1,Interpolation,1,1,14.494
2,67b8e5b8,Male,18-24,Freshman,High School / GED,Nevada,Computer Engineering,2,3,L-2,Concatenation,1,4,17.2
3,67b8e5b8,Male,18-24,Freshman,High School / GED,Nevada,Computer Engineering,2,4,L-2,Interpolation,2,2,19.68
4,67b8e5b8,Male,18-24,Freshman,High School / GED,Nevada,Computer Engineering,2,5,L-2,Concatenation,3,3,22.832
5,67b8e5b8,Male,18-24,Freshman,High School / GED,Nevada,Computer Engineering,2,6,L-2,Interpolation,4,3,10.16
6,67b8e5b8,Male,18-24,Freshman,High School / GED,Nevada,Computer Engineering,2,7,L-4,Concatenation,4,4,42.56
7,67b8e5b8,Male,18-24,Freshman,High School / GED,Nevada,Computer Engineering,2,8,L-4,Interpolation,1,3,19.536
8,67b8e5b8,Male,18-24,Freshman,High School / GED,Nevada,Computer Engineering,2,9,L-3,Concatenation,3,3,30.256
9,67b8e5b8,Male,18-24,Freshman,High School / GED,Nevada,Computer Engineering,2,10,L-3,Interpolation,2,2,26.96
10,67b8e5b8,Male,18-24,Freshman,High School / GED,Nevada,Computer Engineering,2,11,L-4,Concatenation,3,3,13.76
11,67b8e5b8,Male,18-24,Freshman,High School / GED,Nevada,Computer Engineering,2,12,L-4,Interpolation,1,1,13.856
12,67b8e5b8,Male,18-24,Freshman,High School / GED,Nevada,Computer Engineering,2,13,L-2,Concatenation,4,4,24.624
13,67b8e5b8,Male,18-24,Freshman,High School / GED,Nevada,Computer Engineering,2,14,L-2,Interpolation,2,2,15.103
14,67b8e5b8,Male,18-24,Freshman,High School / GED,Nevada,Computer Engineering,2,15,L-3,Concatenation,1,1,43.983
15,67b8e5b8,Male,18-24,Freshman,High School / GED,Nevada,Computer Engineering,2,16,L-3,Interpolation,3,3,15.616
