,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,4335980f,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,2,1,L-1,Concatenation,2,2,16.706
1,4335980f,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,2,2,L-1,Interpolation,1,1,13.59
2,4335980f,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,2,3,L-2,Concatenation,1,2,7.349
3,4335980f,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,2,4,L-2,Interpolation,2,3,0.515
4,4335980f,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,2,5,L-2,Concatenation,3,4,0.502
5,4335980f,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,2,6,L-2,Interpolation,4,3,0.394
6,4335980f,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,2,7,L-4,Concatenation,4,2,0.558
7,4335980f,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,2,8,L-4,Interpolation,1,3,0.429
8,4335980f,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,2,9,L-3,Concatenation,3,4,0.322
9,4335980f,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,2,10,L-3,Interpolation,2,3,1.184
10,4335980f,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,2,11,L-4,Concatenation,3,2,0.507
11,4335980f,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,2,12,L-4,Interpolation,1,1,0.419
12,4335980f,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,2,13,L-2,Concatenation,4,2,0.561
13,4335980f,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,2,14,L-2,Interpolation,2,3,0.376
14,4335980f,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,2,15,L-3,Concatenation,1,4,0.482
15,4335980f,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering ,2,16,L-3,Interpolation,3,3,0.607
