,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,514fb72f,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,1,L-1,Concatenation,2,2,47.73
1,514fb72f,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,2,L-1,Interpolation,1,1,24.673
2,514fb72f,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,3,L-2,Concatenation,1,4,31.039
3,514fb72f,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,4,L-2,Interpolation,2,2,25.299
4,514fb72f,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,5,L-2,Concatenation,3,3,49.824
5,514fb72f,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,6,L-2,Interpolation,4,3,22.959
6,514fb72f,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,7,L-4,Concatenation,4,4,75.759
7,514fb72f,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,8,L-4,Interpolation,1,4,89.851
8,514fb72f,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,9,L-3,Concatenation,3,3,79.498
9,514fb72f,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,10,L-3,Interpolation,2,2,13.069
10,514fb72f,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,11,L-4,Concatenation,3,1,93.411
11,514fb72f,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,12,L-4,Interpolation,1,2,107.563
12,514fb72f,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,13,L-2,Concatenation,4,4,15.221
13,514fb72f,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,14,L-2,Interpolation,2,2,8.787
14,514fb72f,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,15,L-3,Concatenation,1,1,37.498
15,514fb72f,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,16,L-3,Interpolation,3,3,19.061
