,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,9552f418,Male,18-24,Senior,Some college/university,NEvada,Computer Science,3,1,L-1,Concatenation,2,1,12.538
1,9552f418,Male,18-24,Senior,Some college/university,NEvada,Computer Science,3,2,L-1,Interpolation,1,1,9.28
2,9552f418,Male,18-24,Senior,Some college/university,NEvada,Computer Science,3,3,L-2,Concatenation,1,4,44.106
3,9552f418,Male,18-24,Senior,Some college/university,NEvada,Computer Science,3,4,L-2,Interpolation,2,2,14.219
4,9552f418,Male,18-24,Senior,Some college/university,NEvada,Computer Science,3,5,L-2,Concatenation,3,3,21.235
5,9552f418,Male,18-24,Senior,Some college/university,NEvada,Computer Science,3,6,L-2,Interpolation,4,3,17.657
6,9552f418,Male,18-24,Senior,Some college/university,NEvada,Computer Science,3,7,L-4,Concatenation,4,4,63.246
7,9552f418,Male,18-24,Senior,Some college/university,NEvada,Computer Science,3,8,L-4,Interpolation,1,1,8.037
8,9552f418,Male,18-24,Senior,Some college/university,NEvada,Computer Science,3,9,L-3,Concatenation,3,3,20.513
9,9552f418,Male,18-24,Senior,Some college/university,NEvada,Computer Science,3,10,L-3,Interpolation,2,2,12.296
10,9552f418,Male,18-24,Senior,Some college/university,NEvada,Computer Science,3,11,L-4,Concatenation,3,3,15.344
11,9552f418,Male,18-24,Senior,Some college/university,NEvada,Computer Science,3,12,L-4,Interpolation,1,3,11.252
12,9552f418,Male,18-24,Senior,Some college/university,NEvada,Computer Science,3,13,L-2,Concatenation,4,4,21.233
13,9552f418,Male,18-24,Senior,Some college/university,NEvada,Computer Science,3,14,L-2,Interpolation,2,2,6.564
14,9552f418,Male,18-24,Senior,Some college/university,NEvada,Computer Science,3,15,L-3,Concatenation,1,1,26.147
15,9552f418,Male,18-24,Senior,Some college/university,NEvada,Computer Science,3,16,L-3,Interpolation,3,3,25.123
