,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,65046f3a,Male,18-24,Freshman,Some college/university,Las Vegas,Computer Engineering,2,1,L-1,Concatenation,2,2,107.088
1,65046f3a,Male,18-24,Freshman,Some college/university,Las Vegas,Computer Engineering,2,2,L-1,Interpolation,1,1,17.654
2,65046f3a,Male,18-24,Freshman,Some college/university,Las Vegas,Computer Engineering,2,3,L-2,Concatenation,1,4,334.858
3,65046f3a,Male,18-24,Freshman,Some college/university,Las Vegas,Computer Engineering,2,4,L-2,Interpolation,2,2,6954.004
4,65046f3a,Male,18-24,Freshman,Some college/university,Las Vegas,Computer Engineering,2,5,L-2,Concatenation,3,3,35.532
5,65046f3a,Male,18-24,Freshman,Some college/university,Las Vegas,Computer Engineering,2,6,L-2,Interpolation,4,3,29.956
6,65046f3a,Male,18-24,Freshman,Some college/university,Las Vegas,Computer Engineering,2,7,L-4,Concatenation,4,4,61.387
7,65046f3a,Male,18-24,Freshman,Some college/university,Las Vegas,Computer Engineering,2,8,L-4,Interpolation,1,1,36.067
8,65046f3a,Male,18-24,Freshman,Some college/university,Las Vegas,Computer Engineering,2,9,L-3,Concatenation,3,3,76.869
9,65046f3a,Male,18-24,Freshman,Some college/university,Las Vegas,Computer Engineering,2,10,L-3,Interpolation,2,2,82.705
10,65046f3a,Male,18-24,Freshman,Some college/university,Las Vegas,Computer Engineering,2,11,L-4,Concatenation,3,3,56.95
11,65046f3a,Male,18-24,Freshman,Some college/university,Las Vegas,Computer Engineering,2,12,L-4,Interpolation,1,3,35.453
12,65046f3a,Male,18-24,Freshman,Some college/university,Las Vegas,Computer Engineering,2,13,L-2,Concatenation,4,4,32.865
13,65046f3a,Male,18-24,Freshman,Some college/university,Las Vegas,Computer Engineering,2,14,L-2,Interpolation,2,2,17.058
14,65046f3a,Male,18-24,Freshman,Some college/university,Las Vegas,Computer Engineering,2,15,L-3,Concatenation,1,1,25.268
15,65046f3a,Male,18-24,Freshman,Some college/university,Las Vegas,Computer Engineering,2,16,L-3,Interpolation,3,2,29.464
