,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,8e34f211,Male,18-24,Junior,Some college/university,Nevada,Computer Science,8,1,L-1,Concatenation,2,2,16.943
1,8e34f211,Male,18-24,Junior,Some college/university,Nevada,Computer Science,8,2,L-1,Interpolation,1,1,18.5
2,8e34f211,Male,18-24,Junior,Some college/university,Nevada,Computer Science,8,3,L-2,Concatenation,1,4,33.255
3,8e34f211,Male,18-24,Junior,Some college/university,Nevada,Computer Science,8,4,L-2,Interpolation,2,2,28.529
4,8e34f211,Male,18-24,Junior,Some college/university,Nevada,Computer Science,8,5,L-2,Concatenation,3,3,50.32
5,8e34f211,Male,18-24,Junior,Some college/university,Nevada,Computer Science,8,6,L-2,Interpolation,4,3,43.976
6,8e34f211,Male,18-24,Junior,Some college/university,Nevada,Computer Science,8,7,L-4,Concatenation,4,4,75.014
7,8e34f211,Male,18-24,Junior,Some college/university,Nevada,Computer Science,8,8,L-4,Interpolation,1,2,68.97
8,8e34f211,Male,18-24,Junior,Some college/university,Nevada,Computer Science,8,9,L-3,Concatenation,3,3,41.145
9,8e34f211,Male,18-24,Junior,Some college/university,Nevada,Computer Science,8,10,L-3,Interpolation,2,2,42.245
10,8e34f211,Male,18-24,Junior,Some college/university,Nevada,Computer Science,8,11,L-4,Concatenation,3,3,25.126
11,8e34f211,Male,18-24,Junior,Some college/university,Nevada,Computer Science,8,12,L-4,Interpolation,1,1,65.116
12,8e34f211,Male,18-24,Junior,Some college/university,Nevada,Computer Science,8,13,L-2,Concatenation,4,4,54.431
13,8e34f211,Male,18-24,Junior,Some college/university,Nevada,Computer Science,8,14,L-2,Interpolation,2,2,25.893
14,8e34f211,Male,18-24,Junior,Some college/university,Nevada,Computer Science,8,15,L-3,Concatenation,1,1,31.933
15,8e34f211,Male,18-24,Junior,Some college/university,Nevada,Computer Science,8,16,L-3,Interpolation,3,4,15.406
