,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,b347e018,Male,18-24,Senior,Bachelor Degree,Nevada,Computer Science,6,1,L-1,Concatenation,2,2,15.869
1,b347e018,Male,18-24,Senior,Bachelor Degree,Nevada,Computer Science,6,2,L-1,Interpolation,1,1,12.732
2,b347e018,Male,18-24,Senior,Bachelor Degree,Nevada,Computer Science,6,3,L-2,Concatenation,1,4,28.184
3,b347e018,Male,18-24,Senior,Bachelor Degree,Nevada,Computer Science,6,4,L-2,Interpolation,2,2,15.878
4,b347e018,Male,18-24,Senior,Bachelor Degree,Nevada,Computer Science,6,5,L-2,Concatenation,3,3,31.087
5,b347e018,Male,18-24,Senior,Bachelor Degree,Nevada,Computer Science,6,6,L-2,Interpolation,4,3,19.891
6,b347e018,Male,18-24,Senior,Bachelor Degree,Nevada,Computer Science,6,7,L-4,Concatenation,4,4,17.924
7,b347e018,Male,18-24,Senior,Bachelor Degree,Nevada,Computer Science,6,8,L-4,Interpolation,1,1,15.892
8,b347e018,Male,18-24,Senior,Bachelor Degree,Nevada,Computer Science,6,9,L-3,Concatenation,3,3,18.613
9,b347e018,Male,18-24,Senior,Bachelor Degree,Nevada,Computer Science,6,10,L-3,Interpolation,2,2,7.294
10,b347e018,Male,18-24,Senior,Bachelor Degree,Nevada,Computer Science,6,11,L-4,Concatenation,3,3,15.401
11,b347e018,Male,18-24,Senior,Bachelor Degree,Nevada,Computer Science,6,12,L-4,Interpolation,1,1,8.456
12,b347e018,Male,18-24,Senior,Bachelor Degree,Nevada,Computer Science,6,13,L-2,Concatenation,4,3,14.243
13,b347e018,Male,18-24,Senior,Bachelor Degree,Nevada,Computer Science,6,14,L-2,Interpolation,2,2,5.575
14,b347e018,Male,18-24,Senior,Bachelor Degree,Nevada,Computer Science,6,15,L-3,Concatenation,1,1,16.776
15,b347e018,Male,18-24,Senior,Bachelor Degree,Nevada,Computer Science,6,16,L-3,Interpolation,3,4,12.629
