,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,cee71616,Prefer not to say,18-24,Junior,High School / GED,NV,Computer Science,1,1,L-1,Concatenation,2,2,16.906
1,cee71616,Prefer not to say,18-24,Junior,High School / GED,NV,Computer Science,1,2,L-1,Interpolation,1,1,22.281
2,cee71616,Prefer not to say,18-24,Junior,High School / GED,NV,Computer Science,1,3,L-2,Concatenation,1,4,19.277
3,cee71616,Prefer not to say,18-24,Junior,High School / GED,NV,Computer Science,1,4,L-2,Interpolation,2,2,24.675
4,cee71616,Prefer not to say,18-24,Junior,High School / GED,NV,Computer Science,1,5,L-2,Concatenation,3,3,21.075
5,cee71616,Prefer not to say,18-24,Junior,High School / GED,NV,Computer Science,1,6,L-2,Interpolation,4,3,4.318
6,cee71616,Prefer not to say,18-24,Junior,High School / GED,NV,Computer Science,1,7,L-4,Concatenation,4,4,40.773
7,cee71616,Prefer not to say,18-24,Junior,High School / GED,NV,Computer Science,1,8,L-4,Interpolation,1,3,10.321
8,cee71616,Prefer not to say,18-24,Junior,High School / GED,NV,Computer Science,1,9,L-3,Concatenation,3,1,4.315
9,cee71616,Prefer not to say,18-24,Junior,High School / GED,NV,Computer Science,1,10,L-3,Interpolation,2,4,1.557
10,cee71616,Prefer not to say,18-24,Junior,High School / GED,NV,Computer Science,1,11,L-4,Concatenation,3,3,7.877
11,cee71616,Prefer not to say,18-24,Junior,High School / GED,NV,Computer Science,1,12,L-4,Interpolation,1,1,3.987
12,cee71616,Prefer not to say,18-24,Junior,High School / GED,NV,Computer Science,1,13,L-2,Concatenation,4,4,19.411
13,cee71616,Prefer not to say,18-24,Junior,High School / GED,NV,Computer Science,1,14,L-2,Interpolation,2,2,13.145
14,cee71616,Prefer not to say,18-24,Junior,High School / GED,NV,Computer Science,1,15,L-3,Concatenation,1,3,1.216
15,cee71616,Prefer not to say,18-24,Junior,High School / GED,NV,Computer Science,1,16,L-3,Interpolation,3,2,1.017
