,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,2cdaaa10,Male,18-24,Sophomore,High School / GED,nevada,computer engineering,1,1,L-1,Concatenation,2,2,37.596
1,2cdaaa10,Male,18-24,Sophomore,High School / GED,nevada,computer engineering,1,2,L-1,Interpolation,1,1,30.51
2,2cdaaa10,Male,18-24,Sophomore,High School / GED,nevada,computer engineering,1,3,L-2,Concatenation,1,4,61.774
3,2cdaaa10,Male,18-24,Sophomore,High School / GED,nevada,computer engineering,1,4,L-2,Interpolation,2,2,35.63
4,2cdaaa10,Male,18-24,Sophomore,High School / GED,nevada,computer engineering,1,5,L-2,Concatenation,3,3,50.774
5,2cdaaa10,Male,18-24,Sophomore,High School / GED,nevada,computer engineering,1,6,L-2,Interpolation,4,3,58.697
6,2cdaaa10,Male,18-24,Sophomore,High School / GED,nevada,computer engineering,1,7,L-4,Concatenation,4,4,98.171
7,2cdaaa10,Male,18-24,Sophomore,High School / GED,nevada,computer engineering,1,8,L-4,Interpolation,1,2,62.483
8,2cdaaa10,Male,18-24,Sophomore,High School / GED,nevada,computer engineering,1,9,L-3,Concatenation,3,3,22.561
9,2cdaaa10,Male,18-24,Sophomore,High School / GED,nevada,computer engineering,1,10,L-3,Interpolation,2,2,50.916
10,2cdaaa10,Male,18-24,Sophomore,High School / GED,nevada,computer engineering,1,11,L-4,Concatenation,3,3,55.36
11,2cdaaa10,Male,18-24,Sophomore,High School / GED,nevada,computer engineering,1,12,L-4,Interpolation,1,1,29.922
12,2cdaaa10,Male,18-24,Sophomore,High School / GED,nevada,computer engineering,1,13,L-2,Concatenation,4,4,40.871
13,2cdaaa10,Male,18-24,Sophomore,High School / GED,nevada,computer engineering,1,14,L-2,Interpolation,2,2,34.948
14,2cdaaa10,Male,18-24,Sophomore,High School / GED,nevada,computer engineering,1,15,L-3,Concatenation,1,1,32.829
15,2cdaaa10,Male,18-24,Sophomore,High School / GED,nevada,computer engineering,1,16,L-3,Interpolation,3,3,109.329
