,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,2d9b6c95,Male,18-24,Junior,Some college/university,Nevada,Computer Science,2,1,L-1,Concatenation,2,2,17.944
1,2d9b6c95,Male,18-24,Junior,Some college/university,Nevada,Computer Science,2,2,L-1,Interpolation,1,1,30.467
2,2d9b6c95,Male,18-24,Junior,Some college/university,Nevada,Computer Science,2,3,L-2,Concatenation,1,4,27.995
3,2d9b6c95,Male,18-24,Junior,Some college/university,Nevada,Computer Science,2,4,L-2,Interpolation,2,2,30.273
4,2d9b6c95,Male,18-24,Junior,Some college/university,Nevada,Computer Science,2,5,L-2,Concatenation,3,3,35.428
5,2d9b6c95,Male,18-24,Junior,Some college/university,Nevada,Computer Science,2,6,L-2,Interpolation,4,3,15.756
6,2d9b6c95,Male,18-24,Junior,Some college/university,Nevada,Computer Science,2,7,L-4,Concatenation,4,4,98.199
7,2d9b6c95,Male,18-24,Junior,Some college/university,Nevada,Computer Science,2,8,L-4,Interpolation,1,2,28.89
8,2d9b6c95,Male,18-24,Junior,Some college/university,Nevada,Computer Science,2,9,L-3,Concatenation,3,3,29.192
9,2d9b6c95,Male,18-24,Junior,Some college/university,Nevada,Computer Science,2,10,L-3,Interpolation,2,2,17.545
10,2d9b6c95,Male,18-24,Junior,Some college/university,Nevada,Computer Science,2,11,L-4,Concatenation,3,3,49.98
11,2d9b6c95,Male,18-24,Junior,Some college/university,Nevada,Computer Science,2,12,L-4,Interpolation,1,1,33.145
12,2d9b6c95,Male,18-24,Junior,Some college/university,Nevada,Computer Science,2,13,L-2,Concatenation,4,4,18.177
13,2d9b6c95,Male,18-24,Junior,Some college/university,Nevada,Computer Science,2,14,L-2,Interpolation,2,2,14.35
14,2d9b6c95,Male,18-24,Junior,Some college/university,Nevada,Computer Science,2,15,L-3,Concatenation,1,1,19.96
15,2d9b6c95,Male,18-24,Junior,Some college/university,Nevada,Computer Science,2,16,L-3,Interpolation,3,3,17.759
