,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,e1960321,Male,25-35,Sophomore,Some college/university,NV,Computer Science,1,1,L-1,Concatenation,2,2,27.516
1,e1960321,Male,25-35,Sophomore,Some college/university,NV,Computer Science,1,2,L-1,Interpolation,1,1,30.713
2,e1960321,Male,25-35,Sophomore,Some college/university,NV,Computer Science,1,3,L-2,Concatenation,1,4,27.901
3,e1960321,Male,25-35,Sophomore,Some college/university,NV,Computer Science,1,4,L-2,Interpolation,2,2,38.875
4,e1960321,Male,25-35,Sophomore,Some college/university,NV,Computer Science,1,5,L-2,Concatenation,3,3,40.843
5,e1960321,Male,25-35,Sophomore,Some college/university,NV,Computer Science,1,6,L-2,Interpolation,4,3,23.941
6,e1960321,Male,25-35,Sophomore,Some college/university,NV,Computer Science,1,7,L-4,Concatenation,4,3,13.715
7,e1960321,Male,25-35,Sophomore,Some college/university,NV,Computer Science,1,8,L-4,Interpolation,1,1,36.327
8,e1960321,Male,25-35,Sophomore,Some college/university,NV,Computer Science,1,9,L-3,Concatenation,3,3,33.335
9,e1960321,Male,25-35,Sophomore,Some college/university,NV,Computer Science,1,10,L-3,Interpolation,2,3,4.527
10,e1960321,Male,25-35,Sophomore,Some college/university,NV,Computer Science,1,11,L-4,Concatenation,3,2,16.503
11,e1960321,Male,25-35,Sophomore,Some college/university,NV,Computer Science,1,12,L-4,Interpolation,1,1,34.391
12,e1960321,Male,25-35,Sophomore,Some college/university,NV,Computer Science,1,13,L-2,Concatenation,4,4,25.092
13,e1960321,Male,25-35,Sophomore,Some college/university,NV,Computer Science,1,14,L-2,Interpolation,2,2,19.924
14,e1960321,Male,25-35,Sophomore,Some college/university,NV,Computer Science,1,15,L-3,Concatenation,1,2,2.701
15,e1960321,Male,25-35,Sophomore,Some college/university,NV,Computer Science,1,16,L-3,Interpolation,3,3,33.072
