,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,18f2c7c2,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,1,L-1,Concatenation,2,1,37.371
1,18f2c7c2,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,2,L-1,Interpolation,1,1,5.752
2,18f2c7c2,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,3,L-2,Concatenation,1,1,24.522
3,18f2c7c2,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,4,L-2,Interpolation,2,2,15.938
4,18f2c7c2,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,5,L-2,Concatenation,3,3,12.762
5,18f2c7c2,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,6,L-2,Interpolation,4,3,12.661
6,18f2c7c2,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,7,L-4,Concatenation,4,4,11.139
7,18f2c7c2,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,8,L-4,Interpolation,1,2,22.451
8,18f2c7c2,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,9,L-3,Concatenation,3,3,21.113
9,18f2c7c2,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,10,L-3,Interpolation,2,2,14.424
10,18f2c7c2,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,11,L-4,Concatenation,3,3,8.968
11,18f2c7c2,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,12,L-4,Interpolation,1,1,4.778
12,18f2c7c2,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,13,L-2,Concatenation,4,4,13.311
13,18f2c7c2,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,14,L-2,Interpolation,2,2,7.751
14,18f2c7c2,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,15,L-3,Concatenation,1,1,22.203
15,18f2c7c2,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,16,L-3,Interpolation,3,4,15.121
