,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,09bfdad5,Female,18-24,Senior,High School / GED,Nevada,Computer Science,4,1,L-1,Concatenation,2,1,5.713
1,09bfdad5,Female,18-24,Senior,High School / GED,Nevada,Computer Science,4,2,L-1,Interpolation,1,1,11.713
2,09bfdad5,Female,18-24,Senior,High School / GED,Nevada,Computer Science,4,3,L-2,Concatenation,1,4,17.886
3,09bfdad5,Female,18-24,Senior,High School / GED,Nevada,Computer Science,4,4,L-2,Interpolation,2,2,0.905
4,09bfdad5,Female,18-24,Senior,High School / GED,Nevada,Computer Science,4,5,L-2,Concatenation,3,4,0.814
5,09bfdad5,Female,18-24,Senior,High School / GED,Nevada,Computer Science,4,6,L-2,Interpolation,4,3,0.718
6,09bfdad5,Female,18-24,Senior,High School / GED,Nevada,Computer Science,4,7,L-4,Concatenation,4,4,0.526
7,09bfdad5,Female,18-24,Senior,High School / GED,Nevada,Computer Science,4,8,L-4,Interpolation,1,2,0.362
8,09bfdad5,Female,18-24,Senior,High School / GED,Nevada,Computer Science,4,9,L-3,Concatenation,3,1,0.558
9,09bfdad5,Female,18-24,Senior,High School / GED,Nevada,Computer Science,4,10,L-3,Interpolation,2,2,0.682
10,09bfdad5,Female,18-24,Senior,High School / GED,Nevada,Computer Science,4,11,L-4,Concatenation,3,4,0.581
11,09bfdad5,Female,18-24,Senior,High School / GED,Nevada,Computer Science,4,12,L-4,Interpolation,1,2,2.135
12,09bfdad5,Female,18-24,Senior,High School / GED,Nevada,Computer Science,4,13,L-2,Concatenation,4,4,15.974
13,09bfdad5,Female,18-24,Senior,High School / GED,Nevada,Computer Science,4,14,L-2,Interpolation,2,2,7.907
14,09bfdad5,Female,18-24,Senior,High School / GED,Nevada,Computer Science,4,15,L-3,Concatenation,1,4,17.635
15,09bfdad5,Female,18-24,Senior,High School / GED,Nevada,Computer Science,4,16,L-3,Interpolation,3,3,6.753
