,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,355bf42c,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,1,L-1,Concatenation,2,2,20.053
1,355bf42c,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,2,L-1,Interpolation,1,1,17.041
2,355bf42c,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,3,L-2,Concatenation,1,4,37.059
3,355bf42c,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,4,L-2,Interpolation,2,2,17.528
4,355bf42c,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,5,L-2,Concatenation,3,3,18.47
5,355bf42c,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,6,L-2,Interpolation,4,3,23.651
6,355bf42c,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,7,L-4,Concatenation,4,4,38.215
7,355bf42c,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,8,L-4,Interpolation,1,1,15.168
8,355bf42c,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,9,L-3,Concatenation,3,3,43.287
9,355bf42c,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,10,L-3,Interpolation,2,2,45.415
10,355bf42c,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,11,L-4,Concatenation,3,1,56.0
11,355bf42c,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,12,L-4,Interpolation,1,1,26.503
12,355bf42c,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,13,L-2,Concatenation,4,4,18.646
13,355bf42c,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,14,L-2,Interpolation,2,2,11.347
14,355bf42c,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,15,L-3,Concatenation,1,1,22.663
15,355bf42c,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,16,L-3,Interpolation,3,4,15.873
