,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,7f1cdc82,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,1,L-1,Concatenation,2,1,15.745
1,7f1cdc82,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,2,L-1,Interpolation,1,1,10.276
2,7f1cdc82,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,3,L-2,Concatenation,1,1,14.683
3,7f1cdc82,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,4,L-2,Interpolation,2,2,12.71
4,7f1cdc82,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,5,L-2,Concatenation,3,3,10.926
5,7f1cdc82,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,6,L-2,Interpolation,4,3,6.011
6,7f1cdc82,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,7,L-4,Concatenation,4,4,13.364
7,7f1cdc82,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,8,L-4,Interpolation,1,2,10.922
8,7f1cdc82,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,9,L-3,Concatenation,3,3,14.801
9,7f1cdc82,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,10,L-3,Interpolation,2,2,29.701
10,7f1cdc82,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,11,L-4,Concatenation,3,1,19.621
11,7f1cdc82,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,12,L-4,Interpolation,1,3,11.53
12,7f1cdc82,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,13,L-2,Concatenation,4,4,9.577
13,7f1cdc82,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,14,L-2,Interpolation,2,2,6.966
14,7f1cdc82,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,15,L-3,Concatenation,1,1,16.526
15,7f1cdc82,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,16,L-3,Interpolation,3,4,16.082
