,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,f02cbfc4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,2,1,L-1,Concatenation,2,2,27.473
1,f02cbfc4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,2,2,L-1,Interpolation,1,1,22.968
2,f02cbfc4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,2,3,L-2,Concatenation,1,4,21.226
3,f02cbfc4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,2,4,L-2,Interpolation,2,2,23.594
4,f02cbfc4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,2,5,L-2,Concatenation,3,3,25.475
5,f02cbfc4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,2,6,L-2,Interpolation,4,3,16.625
6,f02cbfc4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,2,7,L-4,Concatenation,4,4,12.417
7,f02cbfc4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,2,8,L-4,Interpolation,1,1,64.703
8,f02cbfc4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,2,9,L-3,Concatenation,3,3,26.098
9,f02cbfc4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,2,10,L-3,Interpolation,2,2,21.234
10,f02cbfc4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,2,11,L-4,Concatenation,3,3,51.629
11,f02cbfc4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,2,12,L-4,Interpolation,1,1,38.539
12,f02cbfc4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,2,13,L-2,Concatenation,4,4,14.93
13,f02cbfc4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,2,14,L-2,Interpolation,2,2,21.066
14,f02cbfc4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,2,15,L-3,Concatenation,1,1,28.074
15,f02cbfc4,Male,18-24,Sophomore,High School / GED,Nevada,Computer Science,2,16,L-3,Interpolation,3,3,15.162
