,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,f0d03e70,Male,18-24,Freshman,High School / GED,Negada,Computer Engineering,0,1,L-1,Concatenation,2,2,24.575
1,f0d03e70,Male,18-24,Freshman,High School / GED,Negada,Computer Engineering,0,2,L-1,Interpolation,1,3,10.64
2,f0d03e70,Male,18-24,Freshman,High School / GED,Negada,Computer Engineering,0,3,L-2,Concatenation,1,4,34.865
3,f0d03e70,Male,18-24,Freshman,High School / GED,Negada,Computer Engineering,0,4,L-2,Interpolation,2,2,17.547
4,f0d03e70,Male,18-24,Freshman,High School / GED,Negada,Computer Engineering,0,5,L-2,Concatenation,3,3,14.894
5,f0d03e70,Male,18-24,Freshman,High School / GED,Negada,Computer Engineering,0,6,L-2,Interpolation,4,3,9.432
6,f0d03e70,Male,18-24,Freshman,High School / GED,Negada,Computer Engineering,0,7,L-4,Concatenation,4,4,32.276
7,f0d03e70,Male,18-24,Freshman,High School / GED,Negada,Computer Engineering,0,8,L-4,Interpolation,1,2,14.563
8,f0d03e70,Male,18-24,Freshman,High School / GED,Negada,Computer Engineering,0,9,L-3,Concatenation,3,3,26.668
9,f0d03e70,Male,18-24,Freshman,High School / GED,Negada,Computer Engineering,0,10,L-3,Interpolation,2,4,7.786
10,f0d03e70,Male,18-24,Freshman,High School / GED,Negada,Computer Engineering,0,11,L-4,Concatenation,3,3,8.611
11,f0d03e70,Male,18-24,Freshman,High School / GED,Negada,Computer Engineering,0,12,L-4,Interpolation,1,1,3.609
12,f0d03e70,Male,18-24,Freshman,High School / GED,Negada,Computer Engineering,0,13,L-2,Concatenation,4,4,14.817
13,f0d03e70,Male,18-24,Freshman,High School / GED,Negada,Computer Engineering,0,14,L-2,Interpolation,2,2,9.641
14,f0d03e70,Male,18-24,Freshman,High School / GED,Negada,Computer Engineering,0,15,L-3,Concatenation,1,1,20.256
15,f0d03e70,Male,18-24,Freshman,High School / GED,Negada,Computer Engineering,0,16,L-3,Interpolation,3,3,16.804
