,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,16398729,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,1,L-1,Concatenation,2,2,61.486
1,16398729,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,2,L-1,Interpolation,1,1,20.001
2,16398729,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,3,L-2,Concatenation,1,2,25.839
3,16398729,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,4,L-2,Interpolation,2,2,26.076
4,16398729,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,5,L-2,Concatenation,3,3,23.34
5,16398729,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,6,L-2,Interpolation,4,3,18.886
6,16398729,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,7,L-4,Concatenation,4,1,71.319
7,16398729,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,8,L-4,Interpolation,1,4,5.648
8,16398729,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,9,L-3,Concatenation,3,3,22.306
9,16398729,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,10,L-3,Interpolation,2,3,15.392
10,16398729,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,11,L-4,Concatenation,3,1,22.665
11,16398729,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,12,L-4,Interpolation,1,2,19.922
12,16398729,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,13,L-2,Concatenation,4,3,35.161
13,16398729,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,14,L-2,Interpolation,2,2,19.224
14,16398729,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,15,L-3,Concatenation,1,1,54.613
15,16398729,Female,18-24,Sophomore,High School / GED,Nevada,Computer Science,10,16,L-3,Interpolation,3,3,40.272
