,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,a53c9207,Male,18-24,Freshman,High School / GED,Nevada,Engineering,5,1,L-1,Concatenation,2,2,15.873
1,a53c9207,Male,18-24,Freshman,High School / GED,Nevada,Engineering,5,2,L-1,Interpolation,1,1,24.0
2,a53c9207,Male,18-24,Freshman,High School / GED,Nevada,Engineering,5,3,L-2,Concatenation,1,4,28.185
3,a53c9207,Male,18-24,Freshman,High School / GED,Nevada,Engineering,5,4,L-2,Interpolation,2,2,26.52
4,a53c9207,Male,18-24,Freshman,High School / GED,Nevada,Engineering,5,5,L-2,Concatenation,3,3,21.293
5,a53c9207,Male,18-24,Freshman,High School / GED,Nevada,Engineering,5,6,L-2,Interpolation,4,3,19.216
6,a53c9207,Male,18-24,Freshman,High School / GED,Nevada,Engineering,5,7,L-4,Concatenation,4,4,39.884
7,a53c9207,Male,18-24,Freshman,High School / GED,Nevada,Engineering,5,8,L-4,Interpolation,1,3,14.222
8,a53c9207,Male,18-24,Freshman,High School / GED,Nevada,Engineering,5,9,L-3,Concatenation,3,3,20.891
9,a53c9207,Male,18-24,Freshman,High School / GED,Nevada,Engineering,5,10,L-3,Interpolation,2,2,22.432
10,a53c9207,Male,18-24,Freshman,High School / GED,Nevada,Engineering,5,11,L-4,Concatenation,3,3,9.441
11,a53c9207,Male,18-24,Freshman,High School / GED,Nevada,Engineering,5,12,L-4,Interpolation,1,1,4.746
12,a53c9207,Male,18-24,Freshman,High School / GED,Nevada,Engineering,5,13,L-2,Concatenation,4,4,17.057
13,a53c9207,Male,18-24,Freshman,High School / GED,Nevada,Engineering,5,14,L-2,Interpolation,2,2,13.723
14,a53c9207,Male,18-24,Freshman,High School / GED,Nevada,Engineering,5,15,L-3,Concatenation,1,1,19.798
15,a53c9207,Male,18-24,Freshman,High School / GED,Nevada,Engineering,5,16,L-3,Interpolation,3,4,14.484
