,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,2bc36898,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,1,L-1,Concatenation,2,2,5.78
1,2bc36898,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,2,L-1,Interpolation,1,1,1.699
2,2bc36898,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,3,L-2,Concatenation,1,4,11.535
3,2bc36898,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,4,L-2,Interpolation,2,2,3.775
4,2bc36898,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,5,L-2,Concatenation,3,3,0.715
5,2bc36898,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,6,L-2,Interpolation,4,1,0.382
6,2bc36898,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,7,L-4,Concatenation,4,2,0.46
7,2bc36898,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,8,L-4,Interpolation,1,4,0.724
8,2bc36898,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,9,L-3,Concatenation,3,4,1.276
9,2bc36898,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,10,L-3,Interpolation,2,2,0.407
10,2bc36898,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,11,L-4,Concatenation,3,1,0.446
11,2bc36898,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,12,L-4,Interpolation,1,2,0.424
12,2bc36898,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,13,L-2,Concatenation,4,3,0.445
13,2bc36898,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,14,L-2,Interpolation,2,1,0.647
14,2bc36898,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,15,L-3,Concatenation,1,1,0.63
15,2bc36898,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,16,L-3,Interpolation,3,2,0.59
