,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,c3df8253,Male,18-24,Junior,High School / GED,Nevada,computer science,2,1,L-1,Concatenation,2,2,47.838
1,c3df8253,Male,18-24,Junior,High School / GED,Nevada,computer science,2,2,L-1,Interpolation,1,1,40.318
2,c3df8253,Male,18-24,Junior,High School / GED,Nevada,computer science,2,3,L-2,Concatenation,1,1,35.792
3,c3df8253,Male,18-24,Junior,High School / GED,Nevada,computer science,2,4,L-2,Interpolation,2,2,24.885
4,c3df8253,Male,18-24,Junior,High School / GED,Nevada,computer science,2,5,L-2,Concatenation,3,3,28.107
5,c3df8253,Male,18-24,Junior,High School / GED,Nevada,computer science,2,6,L-2,Interpolation,4,3,26.725
6,c3df8253,Male,18-24,Junior,High School / GED,Nevada,computer science,2,7,L-4,Concatenation,4,4,58.987
7,c3df8253,Male,18-24,Junior,High School / GED,Nevada,computer science,2,8,L-4,Interpolation,1,2,26.31
8,c3df8253,Male,18-24,Junior,High School / GED,Nevada,computer science,2,9,L-3,Concatenation,3,3,31.741
9,c3df8253,Male,18-24,Junior,High School / GED,Nevada,computer science,2,10,L-3,Interpolation,2,2,24.357
10,c3df8253,Male,18-24,Junior,High School / GED,Nevada,computer science,2,11,L-4,Concatenation,3,3,26.554
11,c3df8253,Male,18-24,Junior,High School / GED,Nevada,computer science,2,12,L-4,Interpolation,1,3,13.703
12,c3df8253,Male,18-24,Junior,High School / GED,Nevada,computer science,2,13,L-2,Concatenation,4,4,26.838
13,c3df8253,Male,18-24,Junior,High School / GED,Nevada,computer science,2,14,L-2,Interpolation,2,2,29.977
14,c3df8253,Male,18-24,Junior,High School / GED,Nevada,computer science,2,15,L-3,Concatenation,1,1,28.484
15,c3df8253,Male,18-24,Junior,High School / GED,Nevada,computer science,2,16,L-3,Interpolation,3,3,5.139
