,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,ab6e889e,Male,18-24,Freshman,Some college/university,Nevada,Electical Engineering,0,1,L-1,Concatenation,2,1,4.453
1,ab6e889e,Male,18-24,Freshman,Some college/university,Nevada,Electical Engineering,0,2,L-1,Interpolation,1,2,0.822
2,ab6e889e,Male,18-24,Freshman,Some college/university,Nevada,Electical Engineering,0,3,L-2,Concatenation,1,3,0.636
3,ab6e889e,Male,18-24,Freshman,Some college/university,Nevada,Electical Engineering,0,4,L-2,Interpolation,2,4,0.755
4,ab6e889e,Male,18-24,Freshman,Some college/university,Nevada,Electical Engineering,0,5,L-2,Concatenation,3,1,0.761
5,ab6e889e,Male,18-24,Freshman,Some college/university,Nevada,Electical Engineering,0,6,L-2,Interpolation,4,2,0.464
6,ab6e889e,Male,18-24,Freshman,Some college/university,Nevada,Electical Engineering,0,7,L-4,Concatenation,4,3,0.634
7,ab6e889e,Male,18-24,Freshman,Some college/university,Nevada,Electical Engineering,0,8,L-4,Interpolation,1,4,0.437
8,ab6e889e,Male,18-24,Freshman,Some college/university,Nevada,Electical Engineering,0,9,L-3,Concatenation,3,1,0.374
9,ab6e889e,Male,18-24,Freshman,Some college/university,Nevada,Electical Engineering,0,10,L-3,Interpolation,2,2,0.363
10,ab6e889e,Male,18-24,Freshman,Some college/university,Nevada,Electical Engineering,0,11,L-4,Concatenation,3,4,0.343
11,ab6e889e,Male,18-24,Freshman,Some college/university,Nevada,Electical Engineering,0,12,L-4,Interpolation,1,2,0.391
12,ab6e889e,Male,18-24,Freshman,Some college/university,Nevada,Electical Engineering,0,13,L-2,Concatenation,4,1,0.506
13,ab6e889e,Male,18-24,Freshman,Some college/university,Nevada,Electical Engineering,0,14,L-2,Interpolation,2,2,0.544
14,ab6e889e,Male,18-24,Freshman,Some college/university,Nevada,Electical Engineering,0,15,L-3,Concatenation,1,4,0.428
15,ab6e889e,Male,18-24,Freshman,Some college/university,Nevada,Electical Engineering,0,16,L-3,Interpolation,3,4,1.217
