,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,16aaa59b,Male,25-35,Junior,Bachelor Degree,Nevada,Computer Science,1,1,L-1,Concatenation,2,2,7.229
1,16aaa59b,Male,25-35,Junior,Bachelor Degree,Nevada,Computer Science,1,2,L-1,Interpolation,1,1,6.166
2,16aaa59b,Male,25-35,Junior,Bachelor Degree,Nevada,Computer Science,1,3,L-2,Concatenation,1,4,6.58
3,16aaa59b,Male,25-35,Junior,Bachelor Degree,Nevada,Computer Science,1,4,L-2,Interpolation,2,2,5.755
4,16aaa59b,Male,25-35,Junior,Bachelor Degree,Nevada,Computer Science,1,5,L-2,Concatenation,3,3,5.855
5,16aaa59b,Male,25-35,Junior,Bachelor Degree,Nevada,Computer Science,1,6,L-2,Interpolation,4,3,5.379
6,16aaa59b,Male,25-35,Junior,Bachelor Degree,Nevada,Computer Science,1,7,L-4,Concatenation,4,4,38.582
7,16aaa59b,Male,25-35,Junior,Bachelor Degree,Nevada,Computer Science,1,8,L-4,Interpolation,1,1,25.416
8,16aaa59b,Male,25-35,Junior,Bachelor Degree,Nevada,Computer Science,1,9,L-3,Concatenation,3,3,11.105
9,16aaa59b,Male,25-35,Junior,Bachelor Degree,Nevada,Computer Science,1,10,L-3,Interpolation,2,2,8.48
10,16aaa59b,Male,25-35,Junior,Bachelor Degree,Nevada,Computer Science,1,11,L-4,Concatenation,3,3,14.878
11,16aaa59b,Male,25-35,Junior,Bachelor Degree,Nevada,Computer Science,1,12,L-4,Interpolation,1,1,33.172
12,16aaa59b,Male,25-35,Junior,Bachelor Degree,Nevada,Computer Science,1,13,L-2,Concatenation,4,4,11.966
13,16aaa59b,Male,25-35,Junior,Bachelor Degree,Nevada,Computer Science,1,14,L-2,Interpolation,2,2,8.898
14,16aaa59b,Male,25-35,Junior,Bachelor Degree,Nevada,Computer Science,1,15,L-3,Concatenation,1,1,10.684
15,16aaa59b,Male,25-35,Junior,Bachelor Degree,Nevada,Computer Science,1,16,L-3,Interpolation,3,3,10.65
