,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,0b7c4cd6,Female,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,1,L-1,Concatenation,2,2,13.196
1,0b7c4cd6,Female,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,2,L-1,Interpolation,1,1,12.689
2,0b7c4cd6,Female,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,3,L-2,Concatenation,1,4,38.902
3,0b7c4cd6,Female,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,4,L-2,Interpolation,2,2,13.835
4,0b7c4cd6,Female,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,5,L-2,Concatenation,3,3,20.004
5,0b7c4cd6,Female,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,6,L-2,Interpolation,4,3,12.87
6,0b7c4cd6,Female,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,7,L-4,Concatenation,4,4,41.361
7,0b7c4cd6,Female,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,8,L-4,Interpolation,1,2,14.106
8,0b7c4cd6,Female,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,9,L-3,Concatenation,3,3,23.125
9,0b7c4cd6,Female,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,10,L-3,Interpolation,2,3,26.451
10,0b7c4cd6,Female,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,11,L-4,Concatenation,3,2,49.143
11,0b7c4cd6,Female,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,12,L-4,Interpolation,1,1,20.524
12,0b7c4cd6,Female,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,13,L-2,Concatenation,4,4,12.737
13,0b7c4cd6,Female,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,14,L-2,Interpolation,2,2,12.827
14,0b7c4cd6,Female,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,15,L-3,Concatenation,1,1,21.007
15,0b7c4cd6,Female,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,1,16,L-3,Interpolation,3,4,30.155
