,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,dd6a0845,Male,18-24,Junior,Some college/university,Nevada,Computer Science,1,1,L-1,Concatenation,2,2,46.817
1,dd6a0845,Male,18-24,Junior,Some college/university,Nevada,Computer Science,1,2,L-1,Interpolation,1,1,43.797
2,dd6a0845,Male,18-24,Junior,Some college/university,Nevada,Computer Science,1,3,L-2,Concatenation,1,4,34.214
3,dd6a0845,Male,18-24,Junior,Some college/university,Nevada,Computer Science,1,4,L-2,Interpolation,2,2,24.035
4,dd6a0845,Male,18-24,Junior,Some college/university,Nevada,Computer Science,1,5,L-2,Concatenation,3,3,27.964
5,dd6a0845,Male,18-24,Junior,Some college/university,Nevada,Computer Science,1,6,L-2,Interpolation,4,3,46.725
6,dd6a0845,Male,18-24,Junior,Some college/university,Nevada,Computer Science,1,7,L-4,Concatenation,4,4,42.512
7,dd6a0845,Male,18-24,Junior,Some college/university,Nevada,Computer Science,1,8,L-4,Interpolation,1,1,64.719
8,dd6a0845,Male,18-24,Junior,Some college/university,Nevada,Computer Science,1,9,L-3,Concatenation,3,3,10.93
9,dd6a0845,Male,18-24,Junior,Some college/university,Nevada,Computer Science,1,10,L-3,Interpolation,2,2,8.092
10,dd6a0845,Male,18-24,Junior,Some college/university,Nevada,Computer Science,1,11,L-4,Concatenation,3,3,45.051
11,dd6a0845,Male,18-24,Junior,Some college/university,Nevada,Computer Science,1,12,L-4,Interpolation,1,1,9.153
12,dd6a0845,Male,18-24,Junior,Some college/university,Nevada,Computer Science,1,13,L-2,Concatenation,4,4,9.516
13,dd6a0845,Male,18-24,Junior,Some college/university,Nevada,Computer Science,1,14,L-2,Interpolation,2,2,6.955
14,dd6a0845,Male,18-24,Junior,Some college/university,Nevada,Computer Science,1,15,L-3,Concatenation,1,1,7.849
15,dd6a0845,Male,18-24,Junior,Some college/university,Nevada,Computer Science,1,16,L-3,Interpolation,3,3,12.601
