,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,66676146,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,1,L-1,Concatenation,2,2,27.462
1,66676146,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,2,L-1,Interpolation,1,1,17.342
2,66676146,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,3,L-2,Concatenation,1,4,23.843
3,66676146,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,4,L-2,Interpolation,2,3,34.331
4,66676146,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,5,L-2,Concatenation,3,3,16.855
5,66676146,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,6,L-2,Interpolation,4,4,3.161
6,66676146,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,7,L-4,Concatenation,4,2,2.57
7,66676146,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,8,L-4,Interpolation,1,3,0.561
8,66676146,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,9,L-3,Concatenation,3,2,0.397
9,66676146,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,10,L-3,Interpolation,2,4,1.024
10,66676146,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,11,L-4,Concatenation,3,1,0.968
11,66676146,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,12,L-4,Interpolation,1,2,0.575
12,66676146,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,13,L-2,Concatenation,4,3,0.388
13,66676146,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,14,L-2,Interpolation,2,4,0.449
14,66676146,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,15,L-3,Concatenation,1,2,0.423
15,66676146,Male,18-24,Freshman,High School / GED,Nevada,Computer Science,0,16,L-3,Interpolation,3,1,1.014
