,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,a213c465,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,1,L-1,Concatenation,2,2,19.6
1,a213c465,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,2,L-1,Interpolation,1,1,21.308
2,a213c465,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,3,L-2,Concatenation,1,4,39.0
3,a213c465,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,4,L-2,Interpolation,2,2,30.997
4,a213c465,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,5,L-2,Concatenation,3,3,38.309
5,a213c465,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,6,L-2,Interpolation,4,3,12.826
6,a213c465,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,7,L-4,Concatenation,4,4,37.033
7,a213c465,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,8,L-4,Interpolation,1,1,16.159
8,a213c465,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,9,L-3,Concatenation,3,3,28.023
9,a213c465,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,10,L-3,Interpolation,2,2,13.355
10,a213c465,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,11,L-4,Concatenation,3,3,39.378
11,a213c465,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,12,L-4,Interpolation,1,1,11.76
12,a213c465,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,13,L-2,Concatenation,4,4,22.543
13,a213c465,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,14,L-2,Interpolation,2,2,19.157
14,a213c465,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,15,L-3,Concatenation,1,1,25.117
15,a213c465,Male,18-24,Freshman,Some college/university,Nevada,Computer Science,1,16,L-3,Interpolation,3,3,66.749
