,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,640779f0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,2,1,L-1,Concatenation,2,1,16.901
1,640779f0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,2,2,L-1,Interpolation,1,1,64.047
2,640779f0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,2,3,L-2,Concatenation,1,4,18.537
3,640779f0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,2,4,L-2,Interpolation,2,2,20.819
4,640779f0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,2,5,L-2,Concatenation,3,3,24.09
5,640779f0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,2,6,L-2,Interpolation,4,3,14.769
6,640779f0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,2,7,L-4,Concatenation,4,4,37.589
7,640779f0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,2,8,L-4,Interpolation,1,2,25.643
8,640779f0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,2,9,L-3,Concatenation,3,3,35.382
9,640779f0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,2,10,L-3,Interpolation,2,2,10.063
10,640779f0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,2,11,L-4,Concatenation,3,3,9.257
11,640779f0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,2,12,L-4,Interpolation,1,1,30.355
12,640779f0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,2,13,L-2,Concatenation,4,4,32.487
13,640779f0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,2,14,L-2,Interpolation,2,2,10.843
14,640779f0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,2,15,L-3,Concatenation,1,1,32.698
15,640779f0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,2,16,L-3,Interpolation,3,3,23.522
