,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,771f4a8a,Male,18-24,Junior,Some college/university,Nevada,Computer Engineering,4,1,L-1,Concatenation,2,2,18.691
1,771f4a8a,Male,18-24,Junior,Some college/university,Nevada,Computer Engineering,4,2,L-1,Interpolation,1,1,17.912
2,771f4a8a,Male,18-24,Junior,Some college/university,Nevada,Computer Engineering,4,3,L-2,Concatenation,1,4,33.372
3,771f4a8a,Male,18-24,Junior,Some college/university,Nevada,Computer Engineering,4,4,L-2,Interpolation,2,2,17.477
4,771f4a8a,Male,18-24,Junior,Some college/university,Nevada,Computer Engineering,4,5,L-2,Concatenation,3,3,21.522
5,771f4a8a,Male,18-24,Junior,Some college/university,Nevada,Computer Engineering,4,6,L-2,Interpolation,4,3,12.679
6,771f4a8a,Male,18-24,Junior,Some college/university,Nevada,Computer Engineering,4,7,L-4,Concatenation,4,4,43.776
7,771f4a8a,Male,18-24,Junior,Some college/university,Nevada,Computer Engineering,4,8,L-4,Interpolation,1,2,28.888
8,771f4a8a,Male,18-24,Junior,Some college/university,Nevada,Computer Engineering,4,9,L-3,Concatenation,3,3,29.268
9,771f4a8a,Male,18-24,Junior,Some college/university,Nevada,Computer Engineering,4,10,L-3,Interpolation,2,1,22.2
10,771f4a8a,Male,18-24,Junior,Some college/university,Nevada,Computer Engineering,4,11,L-4,Concatenation,3,3,22.099
11,771f4a8a,Male,18-24,Junior,Some college/university,Nevada,Computer Engineering,4,12,L-4,Interpolation,1,1,15.306
12,771f4a8a,Male,18-24,Junior,Some college/university,Nevada,Computer Engineering,4,13,L-2,Concatenation,4,4,25.512
13,771f4a8a,Male,18-24,Junior,Some college/university,Nevada,Computer Engineering,4,14,L-2,Interpolation,2,2,14.613
14,771f4a8a,Male,18-24,Junior,Some college/university,Nevada,Computer Engineering,4,15,L-3,Concatenation,1,1,28.43
15,771f4a8a,Male,18-24,Junior,Some college/university,Nevada,Computer Engineering,4,16,L-3,Interpolation,3,3,29.6
