,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,0f98cb0b,Male,18-24,Junior,High School / GED,Nevada,Computer Engineering,1,1,L-1,Concatenation,2,2,20.232
1,0f98cb0b,Male,18-24,Junior,High School / GED,Nevada,Computer Engineering,1,2,L-1,Interpolation,1,1,14.671
2,0f98cb0b,Male,18-24,Junior,High School / GED,Nevada,Computer Engineering,1,3,L-2,Concatenation,1,4,16.649
3,0f98cb0b,Male,18-24,Junior,High School / GED,Nevada,Computer Engineering,1,4,L-2,Interpolation,2,2,19.651
4,0f98cb0b,Male,18-24,Junior,High School / GED,Nevada,Computer Engineering,1,5,L-2,Concatenation,3,3,28.45
5,0f98cb0b,Male,18-24,Junior,High School / GED,Nevada,Computer Engineering,1,6,L-2,Interpolation,4,3,10.559
6,0f98cb0b,Male,18-24,Junior,High School / GED,Nevada,Computer Engineering,1,7,L-4,Concatenation,4,4,27.786
7,0f98cb0b,Male,18-24,Junior,High School / GED,Nevada,Computer Engineering,1,8,L-4,Interpolation,1,4,2.915
8,0f98cb0b,Male,18-24,Junior,High School / GED,Nevada,Computer Engineering,1,9,L-3,Concatenation,3,3,21.199
9,0f98cb0b,Male,18-24,Junior,High School / GED,Nevada,Computer Engineering,1,10,L-3,Interpolation,2,3,11.525
10,0f98cb0b,Male,18-24,Junior,High School / GED,Nevada,Computer Engineering,1,11,L-4,Concatenation,3,1,18.929
11,0f98cb0b,Male,18-24,Junior,High School / GED,Nevada,Computer Engineering,1,12,L-4,Interpolation,1,1,11.016
12,0f98cb0b,Male,18-24,Junior,High School / GED,Nevada,Computer Engineering,1,13,L-2,Concatenation,4,4,18.519
13,0f98cb0b,Male,18-24,Junior,High School / GED,Nevada,Computer Engineering,1,14,L-2,Interpolation,2,2,14.663
14,0f98cb0b,Male,18-24,Junior,High School / GED,Nevada,Computer Engineering,1,15,L-3,Concatenation,1,1,21.309
15,0f98cb0b,Male,18-24,Junior,High School / GED,Nevada,Computer Engineering,1,16,L-3,Interpolation,3,3,23.635
