,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,d7ee1504,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,2,1,L-1,Concatenation,2,2,24.227
1,d7ee1504,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,2,2,L-1,Interpolation,1,1,53.608
2,d7ee1504,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,2,3,L-2,Concatenation,1,4,29.901
3,d7ee1504,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,2,4,L-2,Interpolation,2,2,19.601
4,d7ee1504,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,2,5,L-2,Concatenation,3,3,23.773
5,d7ee1504,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,2,6,L-2,Interpolation,4,3,20.863
6,d7ee1504,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,2,7,L-4,Concatenation,4,4,96.022
7,d7ee1504,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,2,8,L-4,Interpolation,1,3,36.127
8,d7ee1504,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,2,9,L-3,Concatenation,3,3,22.199
9,d7ee1504,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,2,10,L-3,Interpolation,2,2,19.04
10,d7ee1504,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,2,11,L-4,Concatenation,3,3,32.778
11,d7ee1504,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,2,12,L-4,Interpolation,1,1,8.888
12,d7ee1504,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,2,13,L-2,Concatenation,4,4,15.57
13,d7ee1504,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,2,14,L-2,Interpolation,2,2,23.981
14,d7ee1504,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,2,15,L-3,Concatenation,1,1,34.765
15,d7ee1504,Male,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,2,16,L-3,Interpolation,3,3,31.904
