,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,6e7fa2e6,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,1,L-1,Concatenation,2,2,18.889
1,6e7fa2e6,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,2,L-1,Interpolation,1,1,7.932
2,6e7fa2e6,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,3,L-2,Concatenation,1,4,21.375
3,6e7fa2e6,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,4,L-2,Interpolation,2,2,11.017
4,6e7fa2e6,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,5,L-2,Concatenation,3,3,28.35
5,6e7fa2e6,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,6,L-2,Interpolation,4,3,8.968
6,6e7fa2e6,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,7,L-4,Concatenation,4,4,14.856
7,6e7fa2e6,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,8,L-4,Interpolation,1,1,14.616
8,6e7fa2e6,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,9,L-3,Concatenation,3,3,9.6
9,6e7fa2e6,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,10,L-3,Interpolation,2,3,6.304
10,6e7fa2e6,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,11,L-4,Concatenation,3,3,13.112
11,6e7fa2e6,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,12,L-4,Interpolation,1,1,9.794
12,6e7fa2e6,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,13,L-2,Concatenation,4,4,7.446
13,6e7fa2e6,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,14,L-2,Interpolation,2,2,7.016
14,6e7fa2e6,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,15,L-3,Concatenation,1,1,7.328
15,6e7fa2e6,Male,18-24,Junior,Associate Degree,Nevada,Computer Science,3,16,L-3,Interpolation,3,3,9.106
