,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,23752ad4,Female,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,1,L-1,Concatenation,2,2,45.511
1,23752ad4,Female,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,2,L-1,Interpolation,1,1,17.519
2,23752ad4,Female,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,3,L-2,Concatenation,1,3,21.708
3,23752ad4,Female,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,4,L-2,Interpolation,2,2,32.31
4,23752ad4,Female,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,5,L-2,Concatenation,3,3,21.356
5,23752ad4,Female,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,6,L-2,Interpolation,4,3,12.997
6,23752ad4,Female,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,7,L-4,Concatenation,4,4,31.791
7,23752ad4,Female,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,8,L-4,Interpolation,1,3,56.193
8,23752ad4,Female,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,9,L-3,Concatenation,3,1,133.366
9,23752ad4,Female,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,10,L-3,Interpolation,2,3,25.905
10,23752ad4,Female,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,11,L-4,Concatenation,3,3,30.882
11,23752ad4,Female,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,12,L-4,Interpolation,1,3,18.719
12,23752ad4,Female,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,13,L-2,Concatenation,4,4,21.265
13,23752ad4,Female,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,14,L-2,Interpolation,2,2,12.18
14,23752ad4,Female,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,15,L-3,Concatenation,1,1,50.365
15,23752ad4,Female,18-24,Sophomore,High School / GED,Nevada,Computer Engineering,1,16,L-3,Interpolation,3,4,22.397
