,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,08a7321d,Male,18-24,Senior,High School / GED,Nevada,Computer Science,1,1,L-1,Concatenation,2,2,23.059
1,08a7321d,Male,18-24,Senior,High School / GED,Nevada,Computer Science,1,2,L-1,Interpolation,1,1,5.262
2,08a7321d,Male,18-24,Senior,High School / GED,Nevada,Computer Science,1,3,L-2,Concatenation,1,4,20.987
3,08a7321d,Male,18-24,Senior,High School / GED,Nevada,Computer Science,1,4,L-2,Interpolation,2,2,12.625
4,08a7321d,Male,18-24,Senior,High School / GED,Nevada,Computer Science,1,5,L-2,Concatenation,3,3,15.38
5,08a7321d,Male,18-24,Senior,High School / GED,Nevada,Computer Science,1,6,L-2,Interpolation,4,3,7.112
6,08a7321d,Male,18-24,Senior,High School / GED,Nevada,Computer Science,1,7,L-4,Concatenation,4,4,12.238
7,08a7321d,Male,18-24,Senior,High School / GED,Nevada,Computer Science,1,8,L-4,Interpolation,1,1,10.997
8,08a7321d,Male,18-24,Senior,High School / GED,Nevada,Computer Science,1,9,L-3,Concatenation,3,3,19.914
9,08a7321d,Male,18-24,Senior,High School / GED,Nevada,Computer Science,1,10,L-3,Interpolation,2,2,10.528
10,08a7321d,Male,18-24,Senior,High School / GED,Nevada,Computer Science,1,11,L-4,Concatenation,3,1,31.171
11,08a7321d,Male,18-24,Senior,High School / GED,Nevada,Computer Science,1,12,L-4,Interpolation,1,1,9.036
12,08a7321d,Male,18-24,Senior,High School / GED,Nevada,Computer Science,1,13,L-2,Concatenation,4,4,10.131
13,08a7321d,Male,18-24,Senior,High School / GED,Nevada,Computer Science,1,14,L-2,Interpolation,2,2,6.494
14,08a7321d,Male,18-24,Senior,High School / GED,Nevada,Computer Science,1,15,L-3,Concatenation,1,1,14.584
15,08a7321d,Male,18-24,Senior,High School / GED,Nevada,Computer Science,1,16,L-3,Interpolation,3,3,9.352
