,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,d40fe9fe,Female,18-24,Sophomore,Some college/university,NV,computer science,2,1,L-1,Concatenation,2,2,16.533
1,d40fe9fe,Female,18-24,Sophomore,Some college/university,NV,computer science,2,2,L-1,Interpolation,1,1,7.984
2,d40fe9fe,Female,18-24,Sophomore,Some college/university,NV,computer science,2,3,L-2,Concatenation,1,2,32.194
3,d40fe9fe,Female,18-24,Sophomore,Some college/university,NV,computer science,2,4,L-2,Interpolation,2,2,25.552
4,d40fe9fe,Female,18-24,Sophomore,Some college/university,NV,computer science,2,5,L-2,Concatenation,3,3,23.226
5,d40fe9fe,Female,18-24,Sophomore,Some college/university,NV,computer science,2,6,L-2,Interpolation,4,3,9.06
6,d40fe9fe,Female,18-24,Sophomore,Some college/university,NV,computer science,2,7,L-4,Concatenation,4,4,34.182
7,d40fe9fe,Female,18-24,Sophomore,Some college/university,NV,computer science,2,8,L-4,Interpolation,1,2,17.924
8,d40fe9fe,Female,18-24,Sophomore,Some college/university,NV,computer science,2,9,L-3,Concatenation,3,3,16.333
9,d40fe9fe,Female,18-24,Sophomore,Some college/university,NV,computer science,2,10,L-3,Interpolation,2,2,15.804
10,d40fe9fe,Female,18-24,Sophomore,Some college/university,NV,computer science,2,11,L-4,Concatenation,3,3,14.208
11,d40fe9fe,Female,18-24,Sophomore,Some college/university,NV,computer science,2,12,L-4,Interpolation,1,1,14.918
12,d40fe9fe,Female,18-24,Sophomore,Some college/university,NV,computer science,2,13,L-2,Concatenation,4,4,12.939
13,d40fe9fe,Female,18-24,Sophomore,Some college/university,NV,computer science,2,14,L-2,Interpolation,2,2,8.782
14,d40fe9fe,Female,18-24,Sophomore,Some college/university,NV,computer science,2,15,L-3,Concatenation,1,1,19.804
15,d40fe9fe,Female,18-24,Sophomore,Some college/university,NV,computer science,2,16,L-3,Interpolation,3,3,20.965
