,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,f0ad7b95,Female,25-35,Junior,Some college/university,Nevada,Computer Science,1,1,L-1,Concatenation,2,2,30.044
1,f0ad7b95,Female,25-35,Junior,Some college/university,Nevada,Computer Science,1,2,L-1,Interpolation,1,1,36.564
2,f0ad7b95,Female,25-35,Junior,Some college/university,Nevada,Computer Science,1,3,L-2,Concatenation,1,4,45.495
3,f0ad7b95,Female,25-35,Junior,Some college/university,Nevada,Computer Science,1,4,L-2,Interpolation,2,2,31.407
4,f0ad7b95,Female,25-35,Junior,Some college/university,Nevada,Computer Science,1,5,L-2,Concatenation,3,3,37.936
5,f0ad7b95,Female,25-35,Junior,Some college/university,Nevada,Computer Science,1,6,L-2,Interpolation,4,3,93.581
6,f0ad7b95,Female,25-35,Junior,Some college/university,Nevada,Computer Science,1,7,L-4,Concatenation,4,4,96.582
7,f0ad7b95,Female,25-35,Junior,Some college/university,Nevada,Computer Science,1,8,L-4,Interpolation,1,1,22.088
8,f0ad7b95,Female,25-35,Junior,Some college/university,Nevada,Computer Science,1,9,L-3,Concatenation,3,3,17.312
9,f0ad7b95,Female,25-35,Junior,Some college/university,Nevada,Computer Science,1,10,L-3,Interpolation,2,2,24.135
10,f0ad7b95,Female,25-35,Junior,Some college/university,Nevada,Computer Science,1,11,L-4,Concatenation,3,3,16.264
11,f0ad7b95,Female,25-35,Junior,Some college/university,Nevada,Computer Science,1,12,L-4,Interpolation,1,1,65.207
12,f0ad7b95,Female,25-35,Junior,Some college/university,Nevada,Computer Science,1,13,L-2,Concatenation,4,4,12.558
13,f0ad7b95,Female,25-35,Junior,Some college/university,Nevada,Computer Science,1,14,L-2,Interpolation,2,2,13.233
14,f0ad7b95,Female,25-35,Junior,Some college/university,Nevada,Computer Science,1,15,L-3,Concatenation,1,1,11.48
15,f0ad7b95,Female,25-35,Junior,Some college/university,Nevada,Computer Science,1,16,L-3,Interpolation,3,3,12.0
