,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,a63a3389,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,1,L-1,Concatenation,2,2,21.422
1,a63a3389,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,2,L-1,Interpolation,1,1,13.557
2,a63a3389,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,3,L-2,Concatenation,1,4,19.76
3,a63a3389,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,4,L-2,Interpolation,2,2,32.144
4,a63a3389,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,5,L-2,Concatenation,3,3,21.328
5,a63a3389,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,6,L-2,Interpolation,4,3,12.405
6,a63a3389,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,7,L-4,Concatenation,4,4,73.177
7,a63a3389,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,8,L-4,Interpolation,1,2,16.024
8,a63a3389,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,9,L-3,Concatenation,3,2,26.137
9,a63a3389,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,10,L-3,Interpolation,2,2,24.421
10,a63a3389,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,11,L-4,Concatenation,3,3,16.738
11,a63a3389,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,12,L-4,Interpolation,1,3,15.935
12,a63a3389,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,13,L-2,Concatenation,4,4,27.761
13,a63a3389,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,14,L-2,Interpolation,2,2,9.325
14,a63a3389,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,15,L-3,Concatenation,1,1,24.495
15,a63a3389,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,16,L-3,Interpolation,3,3,14.457
