,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,22be8405,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,0,1,L-1,Concatenation,2,2,15.526
1,22be8405,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,0,2,L-1,Interpolation,1,1,10.411
2,22be8405,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,0,3,L-2,Concatenation,1,4,14.785
3,22be8405,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,0,4,L-2,Interpolation,2,2,142.892
4,22be8405,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,0,5,L-2,Concatenation,3,3,43.859
5,22be8405,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,0,6,L-2,Interpolation,4,3,14.241
6,22be8405,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,0,7,L-4,Concatenation,4,4,457.37
7,22be8405,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,0,8,L-4,Interpolation,1,2,10.846
8,22be8405,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,0,9,L-3,Concatenation,3,3,23.386
9,22be8405,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,0,10,L-3,Interpolation,2,2,18.602
10,22be8405,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,0,11,L-4,Concatenation,3,3,96.901
11,22be8405,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,0,12,L-4,Interpolation,1,1,14.107
12,22be8405,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,0,13,L-2,Concatenation,4,4,12.982
13,22be8405,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,0,14,L-2,Interpolation,2,2,6.241
14,22be8405,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,0,15,L-3,Concatenation,1,1,19.296
15,22be8405,Male,18-24,Sophomore,Some college/university,Nevada,Computer Engineering,0,16,L-3,Interpolation,3,3,31.495
