,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,ae3b42a7,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,1,L-1,Concatenation,2,2,14.235
1,ae3b42a7,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,2,L-1,Interpolation,1,1,9.447
2,ae3b42a7,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,3,L-2,Concatenation,1,2,13.704
3,ae3b42a7,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,4,L-2,Interpolation,2,2,22.328
4,ae3b42a7,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,5,L-2,Concatenation,3,3,21.752
5,ae3b42a7,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,6,L-2,Interpolation,4,3,7.191
6,ae3b42a7,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,7,L-4,Concatenation,4,4,24.225
7,ae3b42a7,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,8,L-4,Interpolation,1,2,19.784
8,ae3b42a7,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,9,L-3,Concatenation,3,3,26.704
9,ae3b42a7,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,10,L-3,Interpolation,2,2,23.943
10,ae3b42a7,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,11,L-4,Concatenation,3,3,12.776
11,ae3b42a7,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,12,L-4,Interpolation,1,3,23.592
12,ae3b42a7,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,13,L-2,Concatenation,4,4,8.52
13,ae3b42a7,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,14,L-2,Interpolation,2,2,12.448
14,ae3b42a7,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,15,L-3,Concatenation,1,1,23.408
15,ae3b42a7,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,16,L-3,Interpolation,3,3,8.744
