,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,74c20395,Male,25-35,Graduate,Bachelor Degree,Nevada,Computer Engineering/Science,10,1,L-1,Concatenation,2,2,45.157
1,74c20395,Male,25-35,Graduate,Bachelor Degree,Nevada,Computer Engineering/Science,10,2,L-1,Interpolation,1,1,42.945
2,74c20395,Male,25-35,Graduate,Bachelor Degree,Nevada,Computer Engineering/Science,10,3,L-2,Concatenation,1,4,31.072
3,74c20395,Male,25-35,Graduate,Bachelor Degree,Nevada,Computer Engineering/Science,10,4,L-2,Interpolation,2,2,17.232
4,74c20395,Male,25-35,Graduate,Bachelor Degree,Nevada,Computer Engineering/Science,10,5,L-2,Concatenation,3,3,39.81
5,74c20395,Male,25-35,Graduate,Bachelor Degree,Nevada,Computer Engineering/Science,10,6,L-2,Interpolation,4,3,13.264
6,74c20395,Male,25-35,Graduate,Bachelor Degree,Nevada,Computer Engineering/Science,10,7,L-4,Concatenation,4,4,139.748
7,74c20395,Male,25-35,Graduate,Bachelor Degree,Nevada,Computer Engineering/Science,10,8,L-4,Interpolation,1,3,26.624
8,74c20395,Male,25-35,Graduate,Bachelor Degree,Nevada,Computer Engineering/Science,10,9,L-3,Concatenation,3,3,20.833
9,74c20395,Male,25-35,Graduate,Bachelor Degree,Nevada,Computer Engineering/Science,10,10,L-3,Interpolation,2,2,13.41
10,74c20395,Male,25-35,Graduate,Bachelor Degree,Nevada,Computer Engineering/Science,10,11,L-4,Concatenation,3,3,32.367
11,74c20395,Male,25-35,Graduate,Bachelor Degree,Nevada,Computer Engineering/Science,10,12,L-4,Interpolation,1,1,85.859
12,74c20395,Male,25-35,Graduate,Bachelor Degree,Nevada,Computer Engineering/Science,10,13,L-2,Concatenation,4,4,31.904
13,74c20395,Male,25-35,Graduate,Bachelor Degree,Nevada,Computer Engineering/Science,10,14,L-2,Interpolation,2,2,17.265
14,74c20395,Male,25-35,Graduate,Bachelor Degree,Nevada,Computer Engineering/Science,10,15,L-3,Concatenation,1,1,33.105
15,74c20395,Male,25-35,Graduate,Bachelor Degree,Nevada,Computer Engineering/Science,10,16,L-3,Interpolation,3,3,41.826
