,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,072c06d2,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,1,L-1,Concatenation,2,2,9.004
1,072c06d2,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,2,L-1,Interpolation,1,1,13.826
2,072c06d2,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,3,L-2,Concatenation,1,2,18.686
3,072c06d2,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,4,L-2,Interpolation,2,2,10.559
4,072c06d2,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,5,L-2,Concatenation,3,3,4.192
5,072c06d2,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,6,L-2,Interpolation,4,3,2.515
6,072c06d2,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,7,L-4,Concatenation,4,2,8.59
7,072c06d2,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,8,L-4,Interpolation,1,1,7.688
8,072c06d2,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,9,L-3,Concatenation,3,3,11.031
9,072c06d2,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,10,L-3,Interpolation,2,2,8.6
10,072c06d2,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,11,L-4,Concatenation,3,3,9.629
11,072c06d2,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,12,L-4,Interpolation,1,3,11.705
12,072c06d2,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,13,L-2,Concatenation,4,4,13.848
13,072c06d2,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,14,L-2,Interpolation,2,2,10.145
14,072c06d2,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,15,L-3,Concatenation,1,1,16.005
15,072c06d2,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,2,16,L-3,Interpolation,3,3,6.425
